nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
María Fernanda Cabal,@MariaFdaCabal,2020-12-31T04:38:52.000Z,bolsonaro rechaza decisión de argentina sobre aborto rcn radio mientras dependa de mí el aborto nunca será aprobado en brasil bolsonaro el mandatario deploró este miércoles la legalización del aborto en argentina rcnradio com,,107,375,1300,https://twitter.com/MariaFdaCabal/status/1344503265434738688,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-30T23:49:53.000Z,fleteros intentaron robar a policía retirado en cali y él les respondió a balafleteros intentaron robar a policía retirado en cali y él les respondió a bala en el hecho murió uno de los presuntos delincuentes que se movilizaban en una motocicleta que tenía las placas alteradas bluradio com,,183,381,1400,https://twitter.com/MariaFdaCabal/status/1344430541177810945,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-28T19:45:05.000Z,aquí les comparto mis deseos para el de andres felipe arcos,,312,432,798,https://twitter.com/MariaFdaCabal/status/1343644159341682688,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-28T01:12:22.000Z, gracias mi americacampeon,,45,105,546,https://twitter.com/MariaFdaCabal/status/1343364134570758149,['@americadecali']
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T23:30:00.000Z, columna la memoria del olvido tenemos que hacer todo lo que esté en nuestras manos para enfrentar a los reclutadores aumentar las penas para éste grave delito ayuda a dejar atrás la impunidad y disuadir a los victimarios lascosascomosonla memoria del olvido maria fernanda cabal tuve la oportunidad de defender en comisión primera de senado el proyecto de ley de la representante del centro democrático margarita restrepo encaminado a endurecer las penas y ampliar el radio mariafernandacabal com,,26,74,125,https://twitter.com/MariaFdaCabal/status/1341888818983493632,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T21:26:07.000Z,indagan nexos entre diplomáticos rusos expulsados y venezuela los funcionarios salieron del país los señalan de buscar información sobre infraestructura eltiempo com,,33,180,271,https://twitter.com/MariaFdaCabal/status/1341857642386513923,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T20:30:00.000Z, columna la memoria del olvido mientras estamos con nuestros seres queridos pensemos por un momento en las familias que fueron despojadas de ese derecho la memoria del olvido maria fernanda cabal tuve la oportunidad de defender en comisión primera de senado el proyecto de ley de la representante del centro democrático margarita restrepo encaminado a endurecer las penas y ampliar el radio mariafernandacabal com,,16,53,81,https://twitter.com/MariaFdaCabal/status/1341843522236911616,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T18:10:00.000Z, columna la memoria del olvido es el momento de asumir un compromiso mayor frente a éste flagelo y exigir con mayor firmeza como país y como sociedad que los responsables paguen por sus crímenes como garantía de no repetición la memoria del olvido maria fernanda cabal tuve la oportunidad de defender en comisión primera de senado el proyecto de ley de la representante del centro democrático margarita restrepo encaminado a endurecer las penas y ampliar el radio mariafernandacabal com,,13,33,60,https://twitter.com/MariaFdaCabal/status/1341808288460136448,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T16:51:46.000Z, columna aunque éstos datos corresponden a aquellos niños que lograron liberarse de la esclavitud del reclutamiento exponen la terrible magnitud de ésta barbarie y nos obliga a generar conciencia como civilización si es que pretendemos serlo la memoria del olvido maria fernanda cabal tuve la oportunidad de defender en comisión primera de senado el proyecto de ley de la representante del centro democrático margarita restrepo encaminado a endurecer las penas y ampliar el radio mariafernandacabal com,,16,67,121,https://twitter.com/MariaFdaCabal/status/1341788599608627204,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T12:23:37.000Z,excombatientes de las farc en huila reciben predio de hectáreas extinto al narcotráfico mientras los campesinos son despojados por la ley de restitución de tierras ser violento en colombia paga excombatientes de las farc en huila reciben predio extinto al narcotráfico reincorporados de palermo huila recibieron un terreno de hectáreas en el que podrán continuar trabajando en sus proyectos productivos elespectador com,,224,1000,1300,https://twitter.com/MariaFdaCabal/status/1341721118911176711,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-22T15:06:42.000Z,exclusivo estos dos diplomáticos rusos estaban haciendo espionaje en colombia semana revela la sorprendente historia de espionaje ruso en el país detectado a través de la operación enigma semana com,,76,167,267,https://twitter.com/MariaFdaCabal/status/1341399774495469569,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-22T02:24:58.000Z,jamás olvidaremos la barbarie de la farc la quiere borrar la jep ejército nacional de colombia dic recordamos el sacrificio así como el heroísmo de nuestros soldados asesinados y más secuestrados en el ataque a la base de patascoy en nariño un día como hoy del año paranoolvidar,,274,660,1000,https://twitter.com/MariaFdaCabal/status/1341208077891203074,['@col_ejercito']
María Fernanda Cabal,@MariaFdaCabal,2020-12-18T12:40:55.000Z,dios mío qué le pasa al ser humano noticias caracol dic tras intensa búsqueda hallan muerta a la pequeña sofía cadavid según la policía el padre de la menor de meses confesó el asesinato el crimen enluta a rionegro antioquia ,,174,156,390,https://twitter.com/MariaFdaCabal/status/1339913533203640320,['@noticiascaracol']
María Fernanda Cabal,@MariaFdaCabal,2020-12-18T05:23:39.000Z, hasta cuándo soportamos esto y la jep ordenando ilegalmente esquemas para armar desmovilizados y proteger ex guerrilleros las víctimas bien gracias alicia restrepo g dic cargamento de armas en camioneta de la unp con conductor guerrillo con sueldo de nuestros bolsillos no cumplen ni cumplirán narcoterroristas no dejan de serlo nomásacuerdoincumplidoporfart twitter com boterocoffes s… mostrar este hilo,,57,567,787,https://twitter.com/MariaFdaCabal/status/1339803493767516162,"['@alirestrepo', '@mindefensa', '@infopresidencia', '@unpcolombia', '@onucolombia', '@hrw', '@comisionadopaz']"
María Fernanda Cabal,@MariaFdaCabal,2020-12-18T02:47:28.000Z,claro es la paz que nos dejaron los cómplices de la coca félix de bedout dic estamos en la semana de hoy fueron asesinadas personas en el bagre antioquia es la masacre en colombia en este año ,,177,420,1100,https://twitter.com/MariaFdaCabal/status/1339764186226847744,['@fdbedout']
María Fernanda Cabal,@MariaFdaCabal,2020-12-18T01:35:02.000Z, columna cuál verdad tal descaro revive el mismo argumento con el que impusieron el acuerdo de paz de la habana y crearon un tribunal a la medida de las farc cuál verdad maria fernanda cabal disfrazar de “causas justas” las propuestas de la izquierda revolucionaria para atrapar al estado es una estrategia que ha dado resultado en colombia desde hace varios años convertir sus deseos en mariafernandacabal com,,29,155,235,https://twitter.com/MariaFdaCabal/status/1339745957324402689,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-17T01:24:08.000Z,el mandadero de soros paola holguín dic lo de es cada día más vergonzoso ,,43,261,611,https://twitter.com/MariaFdaCabal/status/1339380829626265600,"['@paolaholguin', '@jmvivancohrw']"
María Fernanda Cabal,@MariaFdaCabal,2020-12-16T22:30:06.000Z, columna cuál verdad disfrazar de “causas justas” las propuestas de la izquierda revolucionaria para atrapar al estado es una estrategia que ha dado resultado en colombia desde hace varios años cuál verdad maria fernanda cabal disfrazar de “causas justas” las propuestas de la izquierda revolucionaria para atrapar al estado es una estrategia que ha dado resultado en colombia desde hace varios años convertir sus deseos en mariafernandacabal com,,81,120,235,https://twitter.com/MariaFdaCabal/status/1339337030770315267,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-15T16:26:35.000Z,controlan la justicia y se garantizan impunidad todos estos izquierdópatas se perpetúan mientras desaparecen a sus opositores waldo san martin dic anulan el proceso contra el expresidente de bolivia evo morales por presunto fraude electoral en ,,137,161,320,https://twitter.com/MariaFdaCabal/status/1338883161208606725,['@waldosanmartin1']
María Fernanda Cabal,@MariaFdaCabal,2020-12-15T16:25:38.000Z,los comunistas llegan para nunca irse ojoconel carlossanchezberzain dic repudio al dictador en bolivia un silletazo contra evo morales avivó el descontento dentro su partido en la mesa principal instalada en un coliseo en cochabamba estaba morales el descontento se hizo mayor “fuera fuera fuera” y una silla dió en su cabeza ,,58,97,193,https://twitter.com/MariaFdaCabal/status/1338882923290914823,['@csanchezberzain']
María Fernanda Cabal,@MariaFdaCabal,2020-12-15T16:09:02.000Z,colombia necesita más libertad y menos estadocolombia necesita más libertad y menos estado en exclusiva con el panam post el exviceministro de justicia y miembro del centro democrático rafael nieto loaiza panampost com,,76,190,548,https://twitter.com/MariaFdaCabal/status/1338878743171960834,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-11T00:06:32.000Z, columna se necesita mucho más que palabras para salvar a venezuela de los miserables que secuestraron el poder para atraparla en la telaraña socialista que la está matando lentamente cuánto más vamos a esperar miserables maria fernanda cabal maduro no se sacia así lo demostró el pasado fin de semana cuando consumó un nuevo golpe al pueblo venezolano sometido al abuso y la explotación y sin la posibilidad de librarse de su verdugo la mariafernandacabal com,,79,121,279,https://twitter.com/MariaFdaCabal/status/1337186972721442817,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-10T19:45:38.000Z, columna miserables maduro no se sacia así lo demostró el pasado fin de semana cuando consumó un nuevo golpe al pueblo venezolano sometido al abuso y la explotación y sin la posibilidad de librarse de su verdugo miserables maria fernanda cabal maduro no se sacia así lo demostró el pasado fin de semana cuando consumó un nuevo golpe al pueblo venezolano sometido al abuso y la explotación y sin la posibilidad de librarse de su verdugo la mariafernandacabal com,,42,107,226,https://twitter.com/MariaFdaCabal/status/1337121316382646273,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-10T17:20:16.000Z,los victimarios condecoran a quien preside el tribunal que los juzga hecho en colombia pobres las víctimas ,,155,773,1400,https://twitter.com/MariaFdaCabal/status/1337084730014113792,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-10T16:11:15.000Z,nada ha de sorprendernos en el reino de éste mundo rosa blanca dic “nunca desplazamos a nadie” excomandante de las farc ante la jep cabecillas del se burlan de las víctimas millones de desplazados y miles de violaciones y abortos a niñas guerrilleras debe expulsarlos por faltar a la verdad,,33,111,278,https://twitter.com/MariaFdaCabal/status/1337067361195728896,"['@corporosablanca', '@partidofarc', '@jep_colombia']"
María Fernanda Cabal,@MariaFdaCabal,2020-12-10T16:09:53.000Z,y las pobres víctimas paila álvaro uribe vélez dic noticias informan “la dictadura de la jep ordena esquemas de seguridad con ex guerrilleros” la jep es la garantía de un pais de farc no en paz,,77,189,447,https://twitter.com/MariaFdaCabal/status/1337067019724873729,['@alvarouribevel']
María Fernanda Cabal,@MariaFdaCabal,2020-12-08T15:03:56.000Z,ésta es la clase de jueces que destruyen la paz social incumple sus funciones y persigue a quienes sí lo hacen de no creer investigarán a policías por filtrar fotos de ladrones haciendo muecas el mismo juez que dejó en libertad a los atracadores ordenó indagación disciplinaria a los uniformados por filtrar las imágenes de los apartamenteros que hicieron muecas en reseña tras ser capturados bluradio com,,159,572,1200,https://twitter.com/MariaFdaCabal/status/1336325644490194946,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-08T14:42:47.000Z,“si los cerdos pudieran votar el hombre con el balde de comida siempre sería elegido no importa cuántos cerdos haya sacrificado ya en el recinto de al lado” olson scott card,,579,964,2100,https://twitter.com/MariaFdaCabal/status/1336320324061696000,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-08T13:40:11.000Z,el periódico de los meta capitalistas que le da vitrina a la izquierda inmoral para evitar sus críticas david ghitis dic digamos que sí pero desde cuándo petro es de centro petro es de izquierda extrema tan de extrema que formó parte de un grupo de terroristas asesinos torturadores secuestradores que mataban a quienes pensaban distinto a ellos ,,61,305,702,https://twitter.com/MariaFdaCabal/status/1336304569932984320,['@ghitis']
María Fernanda Cabal,@MariaFdaCabal,2020-12-07T13:40:55.000Z,las buenas noticias hacen falta jaime amin dic preparando yá la logística distribución y entrega de la a donación inmensa y generosa de emiratos arabes unidos al país para reforzar la lucha de todos vs el covid gracias de nuevo a eau a nombre del gob pdte y todos los colombianos juntossaldremosadelante,,60,152,513,https://twitter.com/MariaFdaCabal/status/1335942365480153092,"['@jaimeaminh', '@ivanduque']"
María Fernanda Cabal,@MariaFdaCabal,2020-12-03T03:18:27.000Z,why cyber experts are checking fraud in these six counties former ceo of overstock patrick byrne has been working on a team of cyber experts since august and he says they ve gathered damning evidence that shows how democrats strategically targeted just glennbeck com,,14,25,46,https://twitter.com/MariaFdaCabal/status/1334336167492243462,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-03T03:01:26.000Z,soros financia con millones a siete ong que arropan el ‘ministerio de la verdad’ de sánchez ong s que forman el lobby internacional foro sobre información y democracia recibieron casi tres millones y medio de euros de george soros okdiario com,,9,104,115,https://twitter.com/MariaFdaCabal/status/1334331885749751815,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-03T03:00:46.000Z,fallo ordena indemnizar al almirante arango bacci por su captura estuvo meses detenido consejo de estado ordena a fiscalía a pedir excusas y repararlo en dinero eltiempo com,,34,107,412,https://twitter.com/MariaFdaCabal/status/1334331715108691969,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-02T21:24:39.000Z, columna el aniversario del conejo “la promesa de “verdad justicia y reparación” no fue más que una mentira contada en todos los idiomas para garantizarle a su autor intelectual un premio nóbel que llenara de vanidad su ego”el aniversario del conejo maria fernanda cabal la semana pasada se cumplió otro aniversario del mayor golpe a la democracia del que se tenga memoria en colombia juan manuel santos en su megalomanía firmó el acuerdo de paz con las farc en el mariafernandacabal com,,41,242,447,https://twitter.com/MariaFdaCabal/status/1334247129712390144,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-02T19:20:50.000Z,dialoguitis periódico debate ,,4,8,17,https://twitter.com/MariaFdaCabal/status/1334215970945110019,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-02T17:31:52.000Z, columna el aniversario del conejo la semana pasada se cumplió otro aniversario del mayor golpe a la democracia del que se tenga memoria en colombia juan manuel santos en su megalomanía firmó el acuerdo de paz con las farc en el teatro colón de bogotáel aniversario del conejo maria fernanda cabal la semana pasada se cumplió otro aniversario del mayor golpe a la democracia del que se tenga memoria en colombia juan manuel santos en su megalomanía firmó el acuerdo de paz con las farc en el mariafernandacabal com,,61,222,376,https://twitter.com/MariaFdaCabal/status/1334188546886955017,[]
María Fernanda Cabal,@MariaFdaCabal,2020-12-02T12:21:16.000Z,me encanta museveni soy seguidora de sus logros que evidencian el éxito de uganda yoweri k museveni dic the mantle of securing the future of uganda is so great a task to play bets on it is not a gamble it is a matter which requires life long commitment unending sacrifice and vast experience ,,11,6,26,https://twitter.com/MariaFdaCabal/status/1334110381028102144,['@kagutamuseveni']
María Fernanda Cabal,@MariaFdaCabal,2020-12-02T12:18:54.000Z,lamentable la conducta humana la demencia del poder tamara suju dic venezuela represionsistematica he enviado este video del día de ayer tomado en el municipio pedraza edo bolivar a la cpi donde muestra la detención de fortunato albarán de años por horas cuando andaba por la calle diciéndole a la gente que no saliera a votar mostrar este hilo,,37,45,56,https://twitter.com/MariaFdaCabal/status/1334109787299176451,['@tamara_suju']
María Fernanda Cabal,@MariaFdaCabal,2020-11-29T14:18:24.000Z, columna aunque son varios los casos rescatables en donde la enseñanza se ejerce con total excelencia también es claro que son muchos los docentes que se amparan en la figura del “sindicato” para construir su propia plataforma política e ideológica hacia una educación libre maria fernanda cabal la baja calidad de la educación en colombia rebasó sus límites los resultados en el programa para la evaluación internacional de alumnos pisa muestran la necesidad urgente de hacer cambios mariafernandacabal com,,40,121,249,https://twitter.com/MariaFdaCabal/status/1333052695754772480,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-29T03:31:15.000Z, ,,3,5,14,https://twitter.com/MariaFdaCabal/status/1332889834654994433,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-29T02:51:23.000Z, y la gente pobre despojada por la ley infame de restitución de tierras qué inaudito ésto gobierno expidió decreto para que exguerrilleros tengan acceso a tierra la sociedad de activos especiales podrá transferir predios que hayan sido objeto de extinción de dominio a excombatientes de las farc elespectador com,,600,427,687,https://twitter.com/MariaFdaCabal/status/1332879802471165953,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-28T23:40:33.000Z,“tipos como trump y bolsonaro despiertan odio en cada alma que tiene un complejo secreto de inferioridad ” olavo de carvalho,,226,615,1900,https://twitter.com/MariaFdaCabal/status/1332831777954664449,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-28T18:22:44.000Z,bolívar nos quiere hacer creer que los niños extraviados ya no van a ser castigados qué negocio hay detrás se aburrieron o los van a matar en venezuela gustavo bolívar nov sabiendo que no hay pruebas q todo se trató de un montaje de la fiscalía pido a santrich marquez romaña paisa y demás dejar las armas dar cara a la justicia con las pruebas presentadas ayer por petro cepeda roy sanguino evitar un baño d sangre y salvar el acuerdo de paz,,54,227,461,https://twitter.com/MariaFdaCabal/status/1332751798310998016,['@gustavobolivar']
María Fernanda Cabal,@MariaFdaCabal,2020-11-28T17:53:29.000Z,ya se les olvidó ahora la sobrina da cátedra de paz y toda su retahíla humanitaria así vivimos en el reino de este mundo mayor david ejército nacional nov matanzadetacueyó en un noviembre negro hace años guerrilleros del cdo ricardo franco asesinaron a personas en cgto tacueyó cauca hernando pizarro leongómez y josé fedor acusaron a campesinos de infiltrados e informantes del ejército que no olvide la sociedad ,,167,861,1300,https://twitter.com/MariaFdaCabal/status/1332744434887389184,['@mayordavid_ejc']
María Fernanda Cabal,@MariaFdaCabal,2020-11-28T17:48:59.000Z,siempre ha sido así las purgas comunistas se repiten certeza noticias nov farcmataafarc el colombiano ordenan capturar a “gentil duarte” e “iván mordisco” por homicidios de excombatientes a través de ,,11,52,93,https://twitter.com/MariaFdaCabal/status/1332743302169456643,"['@noticerteza', '@googlenews']"
María Fernanda Cabal,@MariaFdaCabal,2020-11-28T14:11:11.000Z,united airlines empieza a transportar vacunas de pfizer contra el covid el plan de united es hacer vuelos chárter entre los aeropuertos de bruselas y chicago ee uu para apoyar la distribución de la vacuna de pfizer bluradio com,,6,14,41,https://twitter.com/MariaFdaCabal/status/1332688491059228673,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-28T06:46:11.000Z,qué dirán los vándalos de acá y de chile norges rodríguez nov más reportes de policías echando gases lacrimógenos a las personas que están en zonas cercanas al ,,27,103,226,https://twitter.com/MariaFdaCabal/status/1332576505990361088,"['@norges14', '@cubacultura']"
María Fernanda Cabal,@MariaFdaCabal,2020-11-28T06:43:15.000Z,y aquí con ganas de copiar lo de allá rosa maría payá a nov cuba hay cientos de jóvenes reunidos exigiendo el derecho a tener derechos frente al ministerio de cultura de la dictadura y acaban de quitar la electricidad todos están en paz sentados en el piso castro no los toquen respeten al pueblo ,,108,303,707,https://twitter.com/MariaFdaCabal/status/1332575766559789056,"['@rosamariapaya', '@diazcanelb']"
María Fernanda Cabal,@MariaFdaCabal,2020-11-24T23:26:45.000Z,secuestro de familiares de excongresista luis emilio tovar el exrepresentante a la cámara luis emilio tovar del centro democrático alertó que sus familiares fueron secuestrados en el municipio de arauca elespectador com,,2,9,14,https://twitter.com/MariaFdaCabal/status/1331378753231081472,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-24T23:25:48.000Z,diferentes gremios pidieron hundir el acuerdo de escazú por generar inseguridad jurídicadiferentes gremios pidieron hundir el acuerdo de escazú por generar inseguridad jurídica para el presidente de la sac jorge bedoya este tratado de escazú tiene serios problemas y por eso pidió que se hunda en el congreso larepublica co,,7,31,77,https://twitter.com/MariaFdaCabal/status/1331378515732729859,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-24T22:45:13.000Z,el premio de santostraidorpaola holguín nov reconozco que como demócrata y por respeto a las víctimas se me dificulta una plenaria presidida por una integrante de una organización narcoterrorista que hoy tiene curul e investidura de congresista de cuenta de un acuerdo de impunidad al que dijimos no,,24,40,115,https://twitter.com/MariaFdaCabal/status/1331368302682255363,['@paolaholguin']
María Fernanda Cabal,@MariaFdaCabal,2020-11-24T22:39:52.000Z,sin contar la verdad habiendo vivido años con el bandido tirofijo sin reparar a nadie sin sanción de nada con sueldo de congresista y escoltas la prensa siempre adorna lo inaudito pobres las víctimas siempre en el olvido el tiempo nov histórico justo cuatro años después de la firma del acuerdo de paz se da un hecho que marca un punto fundamental en la democracia por primera vez un congresista del partido farc preside una sesión plenaria en el senado más detalles aquí ,,470,885,1500,https://twitter.com/MariaFdaCabal/status/1331366955610214411,['@eltiempo']
María Fernanda Cabal,@MariaFdaCabal,2020-11-24T20:40:38.000Z,el rearme de las farc así operan las disidencias cuatro años después de la firma de la paz aunque buena parte de la estructura armada de las farc se reincorporó a la vida civil y se acogió a lo pactado en la habana otra buena porción volvió a la lucha insurgente semana com,,36,168,230,https://twitter.com/MariaFdaCabal/status/1331336948175294464,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-24T16:26:46.000Z,la misma receta que le aplicaron a duque en europa les encanta señalar a los demás de lo que ellos probablemente sí son quemando policías y apuñalando pasajeros de transmilenio hollman ibáñez parra nov llamar a “asesina” es un despropósito ella es incoherente politiquera tripolar mala gobernante gritona abusiva aprovechada pero asesina no ,,32,160,428,https://twitter.com/MariaFdaCabal/status/1331273063019798529,"['@hollmanibanezp', '@claudialopez']"
María Fernanda Cabal,@MariaFdaCabal,2020-11-23T23:03:54.000Z,toda opinión contraria la satanizan como si fuera la que determinara los crímenes la agresión de es contra los hijos de los pobres esclavos de su pésima educación iván cepeda castro nov esta mañana en de senado líderes de pidieron al cesar su campaña de agresión contra ellos un congresista de ese partido en tono soberbio los acusó de “adoctrinar” a los jóvenes son las pm y hoy ya han asesinado otros dos educadores ,,85,270,651,https://twitter.com/MariaFdaCabal/status/1331010616513925125,"['@fecode', '@ivancepedacast', '@comisiondepaz', '@fecode', '@cedemocratico']"
María Fernanda Cabal,@MariaFdaCabal,2020-11-23T15:43:57.000Z, las mujeres que han cambiado el mundo no han necesitado nunca mostrar otra cosa que su inteligencia rita levi montalcini,,306,458,1500,https://twitter.com/MariaFdaCabal/status/1330899897160265728,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-23T15:17:35.000Z,los estudiantes “de bien” que luchan “heroicamente” por sus “derechos”,,331,943,1800,https://twitter.com/MariaFdaCabal/status/1330893264019460096,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-19T23:44:11.000Z,hay fosas en zonas donde hubo combates y puede haber civiles milicianos guerrilleros paras y hasta soldados o policías desaparecidos como el señor lizcano dado de baja en combates del ejército contra el temible frente de las farc jurisdicción especial para la paz nov jependabeiba se reportó la existencia de hallazgos forenses tras la ubicación de fosas comunes en numerosos casos los cuerpos inhumados se encontraban dentro de bolsas negras plásticas desnudos y con heridas de armas de fuego en la cabeza magistrado alejandro ramelli ,,22,66,131,https://twitter.com/MariaFdaCabal/status/1329571200616570880,['@jep_colombia']
María Fernanda Cabal,@MariaFdaCabal,2020-11-19T23:30:00.000Z, columna retomar el rumbo es innegable que existe una deuda pendiente con quienes depositamos nuestro voto en contra de los acuerdos de la habana con quienes creemos y defendemos firmemente la justicia y la libertad del estado derecho retomar el rumbo maria fernanda cabal no siendo suficiente con ignorar la voluntad del pueblo colombiano al desconocer premeditadamente el resultado del plebiscito y antes de abandonar la casa de nariño el ‘nobel de paz’ se aseguró de mariafernandacabal com,,25,86,241,https://twitter.com/MariaFdaCabal/status/1329567631653814278,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-19T22:11:47.000Z,fiscalía solicitaría circular roja para el hombre del maletín en video de petro infobaefiscalía solicitaría circular roja para el hombre del maletín en video de petro se trata del hombre que aparece en un video entregando varios fajos de billetes al senador gustavo petro infobae com,,323,790,1900,https://twitter.com/MariaFdaCabal/status/1329547950746427393,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-19T04:30:09.000Z,ingresos familiares en ee uu crecieron en más que los años anteriores juntos en los ingresos de los hogares estadounidenses aumentaron más que en los años anteriores combinados el qué hay detrás de este fenómeno no es muy difícil de notar maslibertad com co,,55,245,588,https://twitter.com/MariaFdaCabal/status/1329280779822764032,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-18T23:30:00.000Z, columna retomar el rumbo la instancia impuesta por el grupo terrorista con magistrados escogidos a dedo y con un claro sesgo ideológico no puede seguir siendo la que procese a los excombatientes en absoluta parcialidad retomar el rumbo maria fernanda cabal no siendo suficiente con ignorar la voluntad del pueblo colombiano al desconocer premeditadamente el resultado del plebiscito y antes de abandonar la casa de nariño el ‘nobel de paz’ se aseguró de mariafernandacabal com,,27,58,112,https://twitter.com/MariaFdaCabal/status/1329205244132147204,[]
María Fernanda Cabal,@MariaFdaCabal,2020-11-18T20:30:00.000Z, columna aunque la propuesta de reforma a la justicia no es nueva sí se hace cada vez más urgente los países con mejor administración de justicia tienen pocas altas cortes y en colombia lo ideal sería tener máximo dos de éstos tribunales retomar el rumbo maria fernanda cabal no siendo suficiente con ignorar la voluntad del pueblo colombiano al desconocer premeditadamente el resultado del plebiscito y antes de abandonar la casa de nariño el ‘nobel de paz’ se aseguró de mariafernandacabal com,,45,153,378,https://twitter.com/MariaFdaCabal/status/1329159945300930560,[]
