nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
Óscar Iván Zuluaga,@OIZuluaga,2021-08-11T19:28:57.000Z,quiero anunciarles que buscaré la presidencia de nuestro país lo haré con una propuesta innovadora de inclusión y que estimule consensos con el fin de construir un país que proteja las diferencias y que no permita las desigualdades cecandiandi,,905,601,1200,https://twitter.com/OIZuluaga/status/1425539754188288007,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-09-03T15:58:13.000Z,la única justicia que funciona es la que le da paz y tranquilidad a un país la corte debió entender eso antes de abolir la cadena perpetua para asesinos y violadores de niños ,,38,68,125,https://twitter.com/OIZuluaga/status/1433821644703866887,[]
Selección Colombia,@FCFSeleccionCol,2021-09-02T21:31:52.000Z, goooooooooool de roger martíneeeeeeeeez gooooooool de colombiaaaaaa vamoscolombia ,,135,654,3300,https://twitter.com/FCFSeleccionCol/status/1433543219032190997,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-09-02T12:41:54.000Z,recuperación del campo la conseguiremos construyendo y mejorando vías de acceso para que el campesino pueda sacar sus productos en todo momento al hacer del campo un buen negocio los colombianos tendrán opción de quedarse en su tierra radio cordillera todelar cundinamarca,,129,80,167,https://twitter.com/OIZuluaga/status/1433409849052835845,[]
,,2021-09-03T15:58:13.000Z,nan,,38,68,125,https://twitter.com/OIZuluaga/status/1433821644703866887,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-09-02T12:38:22.000Z,crearemos oportunidades para que inviertan nacionales y extranjeros la economía crecerá las empresas crecerán y pagarán mejor a sus empleados ya lo hice en el sector público y privado sé cómo hacerlo radio cordillera todelar cundinamarca,,56,79,232,https://twitter.com/OIZuluaga/status/1433408959461957632,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-09-02T12:03:13.000Z,hay que volver a colombia un país productor y exportador asi miles de millones de dólares entran a nuestro país directo al bolsillo de los colombianos en radio cordillera todelar cundinamarca,,415,205,580,https://twitter.com/OIZuluaga/status/1433400115528601608,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-09-02T11:48:12.000Z,tenemos que dar respuesta inmediata a la preocupación de los jóvenes educación de calidad y empleos bien remunerados colombia no puede esperar más en radio cordillera todelar cundinamarca,,31,43,101,https://twitter.com/OIZuluaga/status/1433396335110234116,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T13:10:10.000Z,hoy el de los jefes cabeza de hogar son mujeres por lo que tenemos que garantizarles que les vamos a dar empleo y cuidar educar y alimentar a sus niños y jóvenes en funza,,38,53,124,https://twitter.com/OIZuluaga/status/1433054574844207105,['@bacatastereofm']
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T13:06:06.000Z,el reto del desarrollo de la sabana occidente es mejorar la movilidad y conectividad esta región ha crecido de forma impresionante y el tren de cercanías junto a la ampliación de la calle son fundamentales para su gente en funza,,9,39,74,https://twitter.com/OIZuluaga/status/1433053552646230018,['@bacatastereofm']
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T12:34:14.000Z,tenemos que reorientar la dian el contrabando cuesta al año millones de dólares ahí están los recursos que el país necesita funza,,315,175,400,https://twitter.com/OIZuluaga/status/1433045534453944321,['@bacatastereofm']
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T03:15:43.000Z,en a mis opositores tengo que derrotarlos con votos cómo se hace con las mejores propuestas es la única forma ,,457,158,392,https://twitter.com/OIZuluaga/status/1432904977392054278,['@nocturnarcn']
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T03:02:48.000Z,soy un hombre muy respetuoso a mi me gusta avanzar en consensos a pesar de las diferencias la única forma de acertar es tener la capacidad de escuchar en ,,44,74,199,https://twitter.com/OIZuluaga/status/1432901725824995339,['@nocturnarcn']
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T02:59:51.000Z,hoy en colombia se necesitan personas no con títulos universitarios sino que tengan conocimientos en automatización en desarrollo o programación son cifras reales que muestran las oportunidades laborales a eso hay que apostarle en ,,11,28,71,https://twitter.com/OIZuluaga/status/1432900983928107014,['@nocturnarcn']
