nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-31T18:56:01.000Z, feliz año nuevo para todos ,,17000,32000,231,https://twitter.com/ingrodolfohdez/status/1344718974903328769,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-29T16:46:53.000Z,los políticos reciben el doble del ajuste del salario de lo que reciben los pobres puro neoliberalismo y cero justicia social es un contrasentido por que con eso matan la demanda y paralizan la economía son brutos ,,30000,91000,377,https://twitter.com/ingrodolfohdez/status/1343961698995220483,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-27T17:40:28.000Z,dra una sola pregunta quiero que conteste hoy el de diciembre del usted participó en la plenaria del desde bucaramanga o no art de la c n ,,14000,39000,96,https://twitter.com/ingrodolfohdez/status/1343250407720706048,"['@rojassaharay', '@concejobucara', '@alcaldiabga', '@pgn_col']"
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-24T22:55:08.000Z, feliz navidad para todos ,,14000,24000,176,https://twitter.com/ingrodolfohdez/status/1342242435599114240,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-12-24T00:10:08.000Z,los colombianos que vivimos de lo que producimos que vivimos de nuestro trabajo que invertimos en el país nos merecemos una colombia mejor ,,12000,35000,207,https://twitter.com/ingrodolfohdez/status/1341898919064850432,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-30T16:35:13.000Z,el día de hoy acompañé al diputado de la jonathan duarte en su acto de posesión como segundo vicepresidente de la mesa directiva de la espero que este paso sirva para un efectivo control político en la ,,5000,4000,43,https://twitter.com/ingrodolfohdez/status/1333449517677633544,"['@ligagobernantes', '@asambleastder', '@gobdesantander']"
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-28T23:16:14.000Z, con este si con este no ,,18000,32000,153,https://twitter.com/ingrodolfohdez/status/1332825659085885441,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-28T01:38:51.000Z,compartiendo futuro con la senadora élica lozano correa nov recorrí con el parques espectaculares que hizo como alcalde de bucaramanga reivindica la arquitectura y el diseño urbano para transformar entornos y comportamiento ciudadano ,,10000,8000,105,https://twitter.com/ingrodolfohdez/status/1332499163062341636,"['@angelicalozanocang', '@angelicalozanoc', '@ingrodolfohdez']"
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-25T18:21:30.000Z,cada año envía a sus mejores trabajadores de vacaciones a e e u u con todo incluido como premio a su esfuerzo dedicación y entrega pese a la situación del covid este año no sería la excepción queremos que sepan que ellos son el corazón de la empresa ,,27000,23000,226,https://twitter.com/ingrodolfohdez/status/1331664322033033219,['@hgconstructora']
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-25T18:03:12.000Z,el fútbol está de luto adiosdiego maradona,,0,4000,100,https://twitter.com/ingrodolfohdez/status/1331659717886750722,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-21T16:27:35.000Z,bueno y porqué no pasó a saludar ,,19000,10000,114,https://twitter.com/ingrodolfohdez/status/1330186104323141632,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-20T18:36:39.000Z, lodijoelinge,,8000,13000,92,https://twitter.com/ingrodolfohdez/status/1329856196564705282,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-17T23:29:29.000Z,quiero hacer un llamado a la solidaridad con todos los colombianos que en estos momentos están sufriendo las consecuencias de lluvias y vientos huracanados aquí dejo unas imágenes con la información para realizar las donaciones ,,7000,10000,57,https://twitter.com/ingrodolfohdez/status/1328842728831115268,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-07T15:05:03.000Z,la cerrada los institutos descentralizados cerrados las oficinas para atender a los ciudadanos cerradas y aún así en vez de disminuirse el gasto en contratación el gobierno de sigue aumentando la contratación con el dinero de los contribuyentes ,,26000,22000,98,https://twitter.com/ingrodolfohdez/status/1325091904283955200,"['@alcaldiabga', '@jcardenasrey']"
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-05T14:33:28.000Z, rodolfo hernández revela su estrategia para las presidenciales a través de plan de rodolfo hernández para ganar la presidencia en el rodolfo hernández revela su estrategia para las presidenciales eltiempo com,,13000,25000,123,https://twitter.com/ingrodolfohdez/status/1324359177708470273,"['@eltiempo', '@eltiempoel']"
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-11-03T18:06:15.000Z, únase a la línea rodolfista y ayudemos a difundir el contenido de el ingeniero para que más personas conozcan su mensaje dando clic aquí ,,21000,29000,131,https://twitter.com/ingrodolfohdez/status/1323687951541374976,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-31T21:02:32.000Z,a pesar de las diferencias que tuvimos con horacio serpa lo respeto como ser humano y como un liberal auténtico y reconozco el interés por las causas sociales que siempre tuvo en su carrera política qepd ,,11000,27000,315,https://twitter.com/ingrodolfohdez/status/1322645151739760641,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-31T20:48:53.000Z,desplazados mil reproducciones,,6000,9000,33,https://twitter.com/ingrodolfohdez/status/1322641717233942529,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-30T23:25:55.000Z, subiendo según dos encuestas recientes ,,9000,32000,143,https://twitter.com/ingrodolfohdez/status/1322318847190380544,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-29T15:53:14.000Z,cuando no se roban la plata se puede invertir en escenarios de talla mundial para que nuestros deportistas también tengan la oportunidad de ser de talla mundial ,,16000,43000,314,https://twitter.com/ingrodolfohdez/status/1321842539691974659,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-27T02:05:40.000Z, quieren saber cuál es el nuevo emprendimiento de la ex esposa de juan carlos cárdenas el alcalde de bucaramanga conózcalo aquí glifosato para el desayuno powered by restream youtube com,,7000,11000,41,https://twitter.com/ingrodolfohdez/status/1320909498656182273,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-26T12:03:36.000Z,los espero hoy lunes de octubre en el programa en vivo “hable con el ingeniero” a las p m en todas mis redes sociales ,,8000,12000,73,https://twitter.com/ingrodolfohdez/status/1320697586702028804,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-03T22:17:28.000Z, expresidentes a juicio ampliaremos este tema el próximo lunes de octubre a las pm en mi programa en vivo hable con el ingeniero en todas mis redes sociales los espero ,,3000,17000,55,https://twitter.com/ingrodolfohdez/status/1312517148317638656,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-03T21:22:44.000Z,dentro de esta larga lucha por la defensa del páramo de santurbán hemos dado un importante paso como sociedad esto aún no se ha terminado y por eso debemos seguir concentrados en la tarea de defender nuestros recursos el día martes los acompañaré con más fuerza que núnca ,,1000,38000,188,https://twitter.com/ingrodolfohdez/status/1312503374206574592,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-03T00:18:07.000Z,bolillo o bala ampliaremos este tema el próximo lunes de octubre a las pm en mi programa en vivo hable con el ingeniero en todas mis redes sociales los espero quino quinoeterno mafalda,,4000,10000,43,https://twitter.com/ingrodolfohdez/status/1312185123245182977,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-02T23:39:42.000Z,colombia celebra hoy el día del boyacensismo a todos los boyacences les envío un gran abrazo y mis más fervorosos deseos de bienestar para seguir viendo grande a su tierra boyaca tierra de gente trabajadora y orgullosa de su historia ,,9000,40000,237,https://twitter.com/ingrodolfohdez/status/1312175456951521280,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-10-02T18:06:24.000Z,a quienes se estaban preguntando en dónde estaba el ing rodolfo hernández en las encuestas aquí les dejo una imagen que muestra que las grandes proezas comienzan desde abajo ,,76000,67000,374,https://twitter.com/ingrodolfohdez/status/1312091579277086720,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-09-30T14:27:13.000Z,qué sometimiento el de este gobierno a un jefe de estado extranjero al que lo único que le interesa de colombia son los votos de los uribistas que viven en la florida ,,18000,40000,223,https://twitter.com/ingrodolfohdez/status/1311311644505583621,[]
Ing Rodolfo Hernandez !,@ingrodolfohdez,2020-09-29T17:02:23.000Z,las emisoras comunitarias son uno de los mejores caminos para que las poblaciones colombianas especialmente las rurales trabajen unidas por el desarrollo de los municipios gracias san vicente stereo por permitirnos llevar nuestro mensaje a esta bella población ,,6000,19000,67,https://twitter.com/ingrodolfohdez/status/1310988306214199296,['@sanvicentech']
