nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
Gustavo Petro,@petrogustavo,2020-12-30T18:38:56.000Z,si quieres una sociedad cero aborto el camino no es prohibir es educar ,,769,4000,19500,https://twitter.com/petrogustavo/status/1344352287779680257,[]
Gustavo Petro,@petrogustavo,2020-12-29T20:32:43.000Z,europa a diferencia de latinoamérica negoció unitariamente con las farmacéuticas la compra de vacunas en una cantidad superior en más el a la totalidad de su población por eso parte de sus vacunas compradas pueden ser donadas ,,100,605,2600,https://twitter.com/petrogustavo/status/1344018534301659142,[]
Gustavo Petro,@petrogustavo,2020-12-29T20:32:43.000Z,como dirigente de la oposición en colombia he propuesto al gobierno español si puede transferir soberanamente parte de sus excedentes en vacunas contra el covid que transfiera al gobierno colombiano vacunas independientemente de las distancias políticas ,,954,1900,7200,https://twitter.com/petrogustavo/status/1344018531076218881,[]
Gustavo Petro,@petrogustavo,2020-12-28T13:05:44.000Z,según la cepal perú panamá y bolivia seran las economías latinoamericanas que más crecerán en las economías que quedaron sujetas al petróleo y el carbón no tendrán mayor reacción colombia debe virar urgentemente hacia su agricultura e industriacuáles son los países de américa latina cuyas economías experimentarán un mayor efecto rebote así como fue testigo de la mayor crisis económica de américa latina en las últimas décadas el próximo año llegará con inéditos despegues económicos siempre que la pandemia se mantenga bajo bbc com,,118,767,2000,https://twitter.com/petrogustavo/status/1343543656331042817,[]
Gustavo Petro,@petrogustavo,2020-12-28T12:24:28.000Z,santiago valencia votó con su bancada en contra de quitar los gastos de representación de los congresistas que decidieron quedar sesionando en sus casas ahora busca apoyo al referendo que busca acabar con la justicia para la paz la respuesta debe ser chaoduquequote tweet w radio colombia dec noticierow el referendo es la forma para que haya disminución en el salario de congresistas santiago valencia ,,80,1100,2900,https://twitter.com/petrogustavo/status/1343533270579994625,"['@wradiocolombia', '@sanvalgo)']"
Gustavo Petro,@petrogustavo,2020-12-28T12:16:19.000Z,al asesinar a la bebe de la excombatiente de las farc a la excombatiente y a sus familiares dejaron una razón en el sur de bolívar los asesinos son reflejo de una parte de la sociedad que no quiere la paz y esta dispuesta al exterminio ninguna nación tiene futuro sin paz ,,356,3000,8700,https://twitter.com/petrogustavo/status/1343531222614597637,[]
Gustavo Petro,@petrogustavo,2020-12-27T21:40:25.000Z,nueva masacre un niño y una joven firmante de acuerdo de paz entre los cinco muertos en montecristo bolívar no quieren que termine el año sin hacer trizas los acuerdos de paz quote tweet aheramigua dec masacre en la quebrada honda municipio de montecristo bolívar ayer personas de una familia fueron asesinadas por grupo armado desconocido entre las víctimas se encontraba excombatiente de farc rosa mendoza y una menor de edad ,,67,914,1200,https://twitter.com/petrogustavo/status/1343310796210774016,"['@aheramigua', '@iap_colombia', '@cidh', '@pbicolombia', '@prensarural']"
Gustavo Petro,@petrogustavo,2020-12-27T21:22:31.000Z, por qué el virus logró detener el capitalismo un análisis de la crisis económica frente al virus ahora lo único que permite la reactivación es una fuerte política pública en la salud y en la economía políticas anticapitalistas en tiempos de covid cuarenta años de neoliberalismo en toda norteamérica sudamérica y europa han dejado lo público completamente expuesto y sin preparación para enfrentarse a una crisis de salud pública de esta clase ctxt es,,71,445,1000,https://twitter.com/petrogustavo/status/1343306291066904576,[]
Gustavo Petro,@petrogustavo,2020-12-27T20:18:56.000Z,matemáticas de uribe pide a sus congresistas renunciar al retroactivo del incremento del salario parlamentario decretado por duque que suma en total millones anual y no cuenta que su bancada negó la devolución de los gastos de representación que suman millones mensuales,,307,3300,9400,https://twitter.com/petrogustavo/status/1343290288828272646,[]
Gustavo Petro,@petrogustavo,2020-12-27T20:06:08.000Z,manuel alonso firmante de la paz asesinado en miranda cauca quote tweet amoratiempo dec otra sonrisa otra voluntad de paz que es asesinada por la rabia de quienes no soportan un país en paz él era manuel alonso firmante del acuerdo de paz fue asesinado el día de hoy en el municipio de miranda en el departamento del cauca con él ya son ,,71,821,1300,https://twitter.com/petrogustavo/status/1343287066587766785,"['@amoratiempo1', '@ueencolombia']"
