nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
Sergio Fajardo,@sergio_fajardo,2021-08-28T20:50:16.000Z,durante cinco años he esperado que este caso llegue a la corte suprema de justicia ahora con total transparencia y honestidad demostraremos que actuamos de manera correcta como a lo largo de nuestra vida política mil reproducciones,,57,69000,312,https://twitter.com/sergio_fajardo/status/1431720812390780929,['@bluradioco1:17']
Sergio Fajardo,@sergio_fajardo,2021-08-28T11:22:17.000Z,juan pablo salazar un ser humano maravilloso umut şenol ago i am proud of you brother ,,14,28000,292,https://twitter.com/sergio_fajardo/status/1431577874021208071,"['@senolumut', '@juanpsalazars']"
Sergio Fajardo,@sergio_fajardo,2021-08-27T19:16:04.000Z,nunca en mi vida he cometido un delito y así lo demostraré ante la corte suprema de justicia aquí unos puntos y observaciones que quiero compartir con ustedes ,,146,138000,628,https://twitter.com/sergio_fajardo/status/1431334717157253122,[]
Sergio Fajardo,@sergio_fajardo,2021-08-27T16:50:54.000Z,comunicado a la opinión pública ,,46,89000,421,https://twitter.com/sergio_fajardo/status/1431298186107367431,[]
Sergio Fajardo,@sergio_fajardo,2021-08-25T02:36:53.000Z,espero que los demás candidatos se comprometan a adelantar una campaña con cero tolerancia por el acoso en redes y que nuestros seguidores sean conscientes de que lo que se dice acá tiene consecuencias en las vidas de las personas feliz noche sergio fajardo ago hago un llamado a los demás candidatos a que tengamos una campaña responsable a que rechacemos abiertamente el acoso en redes hemos vivido mucha violencia y no podemos hacer de esta campaña un capítulo más en la tragedia de este país ,,25,36000,212,https://twitter.com/sergio_fajardo/status/1430358490816602115,['@sergio_fajardo']
Sergio Fajardo,@sergio_fajardo,2021-08-25T02:36:05.000Z,en respuesta a josé un lapsus tiene razón ,,1,0,2,https://twitter.com/sergio_fajardo/status/1430358287753560064,['@jose_gomezramosgracias']
Sergio Fajardo,@sergio_fajardo,2021-08-25T00:58:20.000Z,lo que necesitamos es dejar de creer que para enfrentar la mafia hay que hablar agresivamente y de paso dejar también el machismo evidente en su tuit feliz noche fabian rojas castell ago en respuesta a y el mismo man con respuestas bonitas necesitamos presidente un man que enfrente la mafia no una reina de belleza,,24,34000,302,https://twitter.com/sergio_fajardo/status/1430333688152219661,"['@fabian0111fr', '@mateocardonah', '@sergio_fajardo']"
Sergio Fajardo,@sergio_fajardo,2021-08-25T00:51:24.000Z,ana sofía no se trata de no cometer errores todos lo hacemos se trata de reconocerlos y corregirlos adelante políticamente incorrecta ago soy culpable porqué me he dejado llevar por la calentura del algunos momentos me he expresado de forma incorrecta y maleducada decir las cosas sí pero no así tus palabras me hacen reflexionar profundamente mil gracias lo siento si te defraudé ,,5,14000,90,https://twitter.com/sergio_fajardo/status/1430331946014584834,['@anasofiabell']
Sergio Fajardo,@sergio_fajardo,2021-08-25T00:48:45.000Z,no fernando hacer las cosas distinto o tener opiniones contrarias no equivale a hacer las cosas mal y además el acoso no debería ser una carga para nadie ya está bien de justificar violencias fernando atapuma ago en respuesta a pues el acoso es la carga por haber hecho la cosas mal y estar del lado del enano paraco,,40,33000,418,https://twitter.com/sergio_fajardo/status/1430331278725943299,"['@atapuma', '@sergio_fajardo']"
Sergio Fajardo,@sergio_fajardo,2021-08-25T00:45:14.000Z,hola levy listo tienes mi compromiso no me iré a ver ballenas para la segunda vuelta tengo el tuyo para combatir el acoso en redes sociales levy rincón ago en respuesta a hago un llamado a que en segunda vuelta no vas a agredir al país yéndote a ver ballenas ,,975,547000,4200,https://twitter.com/sergio_fajardo/status/1430330393299914758,"['@levyrincon', '@sergio_fajardo']"
