nombre,usuario,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,mencion,texto_tokenizado,lematizado
Óscar Iván Zuluaga,@OIZuluaga,905,601,1200,[],quiero anunciarles que buscaré la presidencia de nuestro país lo haré con una propuesta innovadora de inclusión y que estimule consensos con el fin de construir un país que proteja las diferencias y que no permita las desigualdades cecandiandi,querer anunciar él que buscar el presidencia de nuestro país él hacer con uno propuesta innovadoro de inclusión y que estimulir consenso con el fin de construir uno país que proteger el diferencia y que no permitir el desigualdad cecandiandi
Óscar Iván Zuluaga,@OIZuluaga,38,68,125,[],la única justicia que funciona es la que le da paz y tranquilidad a un país la corte debió entender eso antes de abolir la cadena perpetua para asesinos y violadores de niños ,el único justicia que funcionar ser el que él dar paz y tranquilidad a uno país el corte deber entender ese antes de abolir el cadena perpetuo para asesino y violador de niño
Óscar Iván Zuluaga,@OIZuluaga,129,80,167,[],recuperación del campo la conseguiremos construyendo y mejorando vías de acceso para que el campesino pueda sacar sus productos en todo momento al hacer del campo un buen negocio los colombianos tendrán opción de quedarse en su tierra radio cordillera todelar cundinamarca,recuperación del campo él conseguirer construir y mejorar vía de acceso para que el campesino poder sacar su producto en todo momento al hacer del campo uno buen negocio el colombiano tener opción de quedar él en su tierra radio cordillero todelar cundinamarco
Óscar Iván Zuluaga,@OIZuluaga,56,79,232,[],crearemos oportunidades para que inviertan nacionales y extranjeros la economía crecerá las empresas crecerán y pagarán mejor a sus empleados ya lo hice en el sector público y privado sé cómo hacerlo radio cordillera todelar cundinamarca,crearer oportunidad para que invertir nacional y extranjero el economía crecer el empresa crecer y pagar mejor a su empleado ya él hacer en el sector público y privado saber cómo hacer él radio cordillero todelar cundinamarco
Óscar Iván Zuluaga,@OIZuluaga,415,205,580,[],hay que volver a colombia un país productor y exportador asi miles de millones de dólares entran a nuestro país directo al bolsillo de los colombianos en radio cordillera todelar cundinamarca,haber que volver a colombia uno país productor y exportador asi mil de millón de dólares entrar a nuestro país directo al bolsillo de el colombiano en radio cordillero todelar cundinamarco
Óscar Iván Zuluaga,@OIZuluaga,31,43,101,[],tenemos que dar respuesta inmediata a la preocupación de los jóvenes educación de calidad y empleos bien remunerados colombia no puede esperar más en radio cordillera todelar cundinamarca,tener que dar respuesta inmediato a el preocupación de el joven educación de calidad y empleo bien remunerado colombia no poder esperar más en radio cordillero todelar cundinamarco
Óscar Iván Zuluaga,@OIZuluaga,38,53,124,['@bacatastereofm'],hoy el de los jefes cabeza de hogar son mujeres por lo que tenemos que garantizarles que les vamos a dar empleo y cuidar educar y alimentar a sus niños y jóvenes en funza,hoy el de el jefe cabeza de hogar ser mujer por él que tener que garantizar él que él ir a dar empleo y cuidar educar y alimentar a su niño y joven en funza
Óscar Iván Zuluaga,@OIZuluaga,9,39,74,['@bacatastereofm'],el reto del desarrollo de la sabana occidente es mejorar la movilidad y conectividad esta región ha crecido de forma impresionante y el tren de cercanías junto a la ampliación de la calle son fundamentales para su gente en funza,el reto del desarrollo de el sabana occidente ser mejorar el movilidad y conectividad este región haber crecer de forma impresionante y el tren de cercanía junto a el ampliación de el calle ser fundamental para su gente en funza
Óscar Iván Zuluaga,@OIZuluaga,315,175,400,['@bacatastereofm'],tenemos que reorientar la dian el contrabando cuesta al año millones de dólares ahí están los recursos que el país necesita funza,tener que reorientar él diar el contrabando costar al año millón de dólares ahí estar el recurso que el país necesitar funza
Óscar Iván Zuluaga,@OIZuluaga,457,158,392,['@nocturnarcn'],en a mis opositores tengo que derrotarlos con votos cómo se hace con las mejores propuestas es la única forma ,en a mi opositor tener que derrotar él con voto cómo él hacer con el mejor propuesta ser el único forma
Óscar Iván Zuluaga,@OIZuluaga,44,74,199,['@nocturnarcn'],soy un hombre muy respetuoso a mi me gusta avanzar en consensos a pesar de las diferencias la única forma de acertar es tener la capacidad de escuchar en ,ser uno hombre mucho respetuoso a mi yo gustar avanzar en consenso a pesar de el diferencia el único forma de acertar ser tener el capacidad de escuchar en
Óscar Iván Zuluaga,@OIZuluaga,11,28,71,['@nocturnarcn'],hoy en colombia se necesitan personas no con títulos universitarios sino que tengan conocimientos en automatización en desarrollo o programación son cifras reales que muestran las oportunidades laborales a eso hay que apostarle en ,hoy en colombia él necesitar persona no con título universitario sino que tener conocimiento en automatización en desarrollo o programación ser cifra real que mostrar el oportunidad laboral a ese haber que apostar él en
Óscar Iván Zuluaga,@OIZuluaga,20,43,137,['@nocturnarcn'],pensilvania queda a horas en una montaña allí creamos empleos es grande lo que se puede hacer por todo el país en materia de empleo se necesita experiencia y voluntad y yo cuento con las dos en ,pensilvania quedar a hora en uno montaña allí crear empleo ser grande él que él poder hacer por todo el país en materia de empleo él necesitar experiencia y voluntad y yo contar con el dos en
Óscar Iván Zuluaga,@OIZuluaga,302,153,430,['@nocturnarcn'],si hay empleo acabamos la pobreza si hay empleo disminuimos la inseguridad es que el empleo es la puerta a una vida mejor de la familia en ,si haber empleo acabar el pobreza si haber empleo disminuimos el inseguridad ser que el empleo ser el puerta a uno vida mejor de el familia en
Óscar Iván Zuluaga,@OIZuluaga,6,25,72,['@cablenoticiascablenoticias'],nuestro sistema de salud debe estar enfocado en la prevención y el paciente debe ser lo más importante hay que invertir más para que la gente no se enferme en and centro democrático,nuestro sistema de salud deber estar enfocado en el prevención y el paciente deber ser él más importante haber que invertir más para que el gente no él enfermar en and centro democrático
Óscar Iván Zuluaga,@OIZuluaga,65,70,150,['@cablenoticiascablenoticias'],tenemos varias necesidades urgentes para combatir la inseguridad aspersión aérea para disminuir cultivos de coca aumento del pie de fuerza más cámaras de vigilancia y cuidado de los parques públicos entre otros and others,tener varios necesidad urgente para combatir el inseguridad aspersión aéreo para disminuir cultivo de coca aumento del pie de fuerza más cámara de vigilancia y cuidado de el parque público entre otro and others
Óscar Iván Zuluaga,@OIZuluaga,406,218,572,['@cablenoticiascablenoticias'],voy a eliminar uno de los impuestos más costosos que más afecta a las empresas el xmil lo vamos a lograr reduciendo el tamaño del estado y ahorrando en su funcionamiento en and centro democrático,ir a eliminar uno de el impuesto más costoso que más afectar a el empresa el xmil él ir a lograr reducir el tamaño del estado y ahorrar en su funcionamiento en and centro democrático
Óscar Iván Zuluaga,@OIZuluaga,47,46,143,['@cablenoticias'],a los trabajadores informales hay que darles incentivos para que entren al sistema necesitamos tarifas competitivas para ellos así lograremos aumentar el recaudo de impuestos y garantizarles acceso a la seguridad social en ,a el trabajador informal haber que dar él incentivo para que entrar al sistema necesitar tarifa competitivo para él así lograrer aumentar el recaudo de impuesto y garantizar él acceso a el seguridad social en
Óscar Iván Zuluaga,@OIZuluaga,46,89,225,[],los colombianos podemos tener diferencias pero debemos estar todos unidos contra el terrorismo condeno el ataque a la estación de policía de atalaya cúcuta a los perpetradores debe caerles todo el peso de la ley policía de colombia and others,el colombiano poder tener diferencia pero deber estar todo unido contra el terrorismo condeno el ataque a el estación de policía de atalaya cúcutar a el perpetrador deber caerles todo el peso de el ley policía de colombia and others
Óscar Iván Zuluaga,@OIZuluaga,26,39,105,['@hjdoblekneiva'],la protesta pacífica hay que respetarla porque los ciudadanos tienen reclamos legítimos pero lo que no podemos permitir es el terrorismo urbano que cuenta con la financiación de bandas criminales y de organizaciones guerrilleras neiva,el protesta pacífico haber que respetar él porque el ciudadano tener reclamo legítimo pero él que no poder permitir ser el terrorismo urbano que contar con el financiación de banda criminal y de organización guerrillero neivo
Óscar Iván Zuluaga,@OIZuluaga,11,24,83,['@hjdoblekneiva'],la política es más que retórica se trata principalmente de propuestas claras y acciones concretas y si algo debe unir al país en este momento es la generación de empleo eso no tiene color político neiva,el política ser más que retórico él tratar principalmente de propuesta claro y acción concreto y si algo deber unir al país en este momento ser el generación de empleo ese no tener color político neivo
Óscar Iván Zuluaga,@OIZuluaga,24,29,72,['@meridiano70'], arauca debe desarrollar energías alternativas para toda colombia por ejemplo la solar eso genera miles de empleos y ayuda al medio ambiente para lograrlo vamos a invertir en nuestra gente para ser más competitivos y construiremos vías que mejoren los accesos ,  arauca deber desarrollar energía alternativo para todo colombia por ejemplo el solar ese generar mil de empleo y ayuda al medio ambiente para lograr él ir a invertir en nuestro gente para ser más competitivo y construirer vía que mejorar el acceso
Óscar Iván Zuluaga,@OIZuluaga,18,22,52,['@meridiano70'],la pandemia nos dejó claro que la prevención en la salud es clave por eso el médico familiar es necesario hay que salir a buscar al paciente también es urgente fortalecer nuestra red de especialistas sobre todo en las regiones arauca,el pandemia yo dejar claro que el prevención en el salud ser clave por ese el médico familiar ser necesario haber que salir a buscar al paciente también ser urgente fortalecer nuestro red de especialista sobre todo en el región arauca
Óscar Iván Zuluaga,@OIZuluaga,51,27,71,['@meridiano70'],nuestro objetivo es lograr que nuestras niñas y niños entre y años puedan tener cuidado alimentación y educación ese debe ser propósito de toda colombia no hay un nada más importante que invertir en la primera infancia ahí está el presente y futuro arauca,nuestro objetivo ser lograr que nuestro niña y niño entre y año poder tener cuidado alimentación y educación ese deber ser propósito de todo colombia no haber uno nada más importante que invertir en el primero infancia ahí estar el presente y futuro arauca
Óscar Iván Zuluaga,@OIZuluaga,120,107,304,['@meridiano70'],soy hijo de la provincia y conozco la urgencia que tiene el país de llevar trabajo a las regiones por eso una de mis propuestas centrales es generar millones de empleos bien remunerados construidos desde lo local y con base en necesidades de municipios arauca,ser hijo de el provincia y conocer el urgencia que tener el país de llevar trabajo a el región por ese uno de mi propuesta central ser generar millón de empleo bien remunerado construido desde él local y con base en necesidad de municipio arauca
Óscar Iván Zuluaga,@OIZuluaga,70,69,161,['@chambacu_tv'],he construido una vasta experiencia desde lo privado y lo público hoy aspiro a unir a un país en torno a unas ideas que superen las diferencia partidarias cartagena,haber construir uno vasta experiencia desde él privado y él público hoy aspirar a unir a uno país en torno a uno idea que superar el diferencia partidario cartagena
Óscar Iván Zuluaga,@OIZuluaga,6,17,43,['@chambacu_tv'],a los artistas y deportistas hay que apoyarlos en su actividad de vida y también para que sean emprendedores utilizando créditos y brindando asesorías a través del sena cartagena,a el artista y deportista haber que apoyar él en su actividad de vida y también para que ser emprendedor utilizar crédito y brindar asesoría a través del sena cartagena
Óscar Iván Zuluaga,@OIZuluaga,123,87,200,['@chambacu_tv'],no hay nada más importante para una mamá que saber que su hijo tiene asegurada alimentación cuidado y formación una de mis prioridades es que cada niño de este país tenga garantizado ese derecho cartagena,no haber nada más importante para uno mamá que saber que su hijo tener asegurado alimentación cuidado y formación uno de mi prioridad ser que cada niño de este país tener garantizado ese derecho cartagena
Óscar Iván Zuluaga,@OIZuluaga,38,32,87,['@chambacu_tv'],vamos a desarrollar todo el potencial de cartagena su belleza mar y todo lo que encierra la convierte en un destino turístico inigualable debe fomentarse el turismo y las convenciones y crear más y mejores oportunidades para superar las desigualdades cartagena,ir a desarrollar todo el potencial de cartagena su belleza mar y todo él que encerrar él convertir en uno destino turístico inigualable deber fomentar él el turismo y el convención y crear más y mejor oportunidad para superar el desigualdad cartagena
Óscar Iván Zuluaga,@OIZuluaga,30,60,170,['@bluradioco'],la paralización del puerto de buenaventura por falta de acción por parte de las autoridades fue un error el centro logístico más importante del país no podía dejar de operar mañanasblu,el paralización del puerto de buenaventura por falta de acción por parte de el autoridad ser uno error el centro logístico más importante del país no poder dejar de operar mañanasblu
Óscar Iván Zuluaga,@OIZuluaga,228,114,327,['@bluradioco'],esta campaña tiene que servir para encontrar caminos que resuelvan los problemas que le duelen a la gente en ese debate tenemos que estar todos mananasblu,este campaña tener que servir para encontrar camino que resuelir el problema que él doler a el gente en ese debate tener que estar todo mananasblu
Óscar Iván Zuluaga,@OIZuluaga,68,62,125,['@emisorafuentes'],hay que acabar con esas mafias de contratación en el programa de alimentación escolar implementar los bancos de alimentos empresas bien organizadas transparentes y ejercer sobre ellas un mayor control cartagena,haber que acabar con ese mafia de contratación en el programa de alimentación escolar implementar el banco de alimento empresa bien organizado transparente y ejercer sobre él uno mayor control cartagena
Óscar Iván Zuluaga,@OIZuluaga,366,152,316,['@lavozdelacosta'],si eliminamos los gastos innecesarios del estado y lo hacemos más eficiente podemos ahorrar y eliminar impuestos que afectan la generación de ingresos como el x barranquilla,si eliminar el gasto innecesario del estado y él hacer más eficiente poder ahorrar y eliminar impuesto que afectar el generación de ingreso como el x barranquilla
Óscar Iván Zuluaga,@OIZuluaga,66,38,88,['@lavozdelacosta'],los jóvenes necesitan educación de calidad y oportunidades de empleo por eso voy a orientar la educación al trabajo y al emprendimiento vamos a crear programas de capacitación digital para poner en marcha la nueva fuerza laboral de colombia en barranquilla,el joven necesitar educación de calidad y oportunidad de empleo por ese ir a orientar el educación al trabajo y al emprendimiento ir a crear programa de capacitación digital para poner en marcha el nuevo fuerza laboral de colombia en barranquilla
Óscar Iván Zuluaga,@OIZuluaga,28,30,78,['@lavozdelacosta'],hay que gobernar para todos los rincones del país llevar empleo a las grandes ciudades y los pequeños pueblos voy a tener en cuenta las realidades de cada municipio barranquilla,haber que gobernar para todo el rincón del país llevar empleo a el grande ciudad y el pequeño pueblo ir a tener en cuenta el realidad de cada municipio barranquilla
Óscar Iván Zuluaga,@OIZuluaga,20,27,90,['@cristalinaflore'],la pandemia nos hizo retroceder en desarrollo económico y social hoy más que nunca los colombianos necesitan soluciones concretas tenemos responsabilidad de trabajar juntos por colombia por eso pongo mi nombre a disposición para crear consensos en caquetá,el pandemia yo hacer retroceder en desarrollo económico y social hoy más que nunca el colombiano necesitar solución concreto tener responsabilidad de trabajar junto por colombia por ese poner mi nombre a disposición para crear consenso en caquetá
Óscar Iván Zuluaga,@OIZuluaga,102,106,284,['@ecosdelcombeima'],colombia puede ser el gran proveedor de alimentos que el mundo necesita mejoremos nuestra producción para llevar comida a cada uno de los rincones de nuestro país y para ser un jugador más importante en el mercado internacional en ibagué ,colombia poder ser el gran proveedor de alimento que el mundo necesitar mejoremos nuestro producción para llevar comida a cada uno de el rincón de nuestro país y para ser uno jugador más importante en el mercado internacional en ibagué
Óscar Iván Zuluaga,@OIZuluaga,17,19,39,['@ecosdelcombeima'],a colombia hay que verla desde lo local hacia arriba esos nuevos dos millones de empleos dignos y bien remunerados serán una realidad que le cambiará la vida a muchas personas en las regiones en bagué,a colombia haber que ver él desde él local hacia arriba ese nuevo dos millón de empleo digno y bien remunerado ser uno realidad que él cambiar el vida a mucho persona en el región en bagué
Óscar Iván Zuluaga,@OIZuluaga,14,32,74,['@malagalatina'],tienen derecho quienes protestan de manera pacífica pero también tienen derecho los que no protestan que necesitan ir al trabajo salir a la calle poder movilizarse allí está el rol del estado en santander,tener derecho quien protestar de manera pacífico pero también tener derecho el que no protestar que necesitar ir al trabajo salir a el calle poder movilizar él allí estar el rol del estado en santander
Óscar Iván Zuluaga,@OIZuluaga,58,43,120,['@malagalatina'],si ponemos la mirada en el campo y en la producción rural vamos a transformar a colombia mejorar el campo significa mejorar la pequeña y la mediana empresa en los pueblos y municipios transformemos el país desde lo local en santander,si poner el mirada en el campo y en el producción rural ir a transformar a colombia mejorar el campo significar mejorar el pequeño y el mediano empresa en el pueblo y municipio transform el país desde él local en santander
Óscar Iván Zuluaga,@OIZuluaga,11,28,61,['@siaradio'],una agricultura básica de subsistencia es un camino a la pobreza necesitamos profesionalizar la producción nacional para poder aumentar las exportaciones y mejorar la calidad de vida de nuestros agricultores en bogotá,uno agricultura básico de subsistencia ser uno camino a el pobreza necesitar profesionalizar el producción nacional para poder aumentar el exportación y mejorar el calidad de vida de nuestro agricultor en bogotá
Óscar Iván Zuluaga,@OIZuluaga,39,29,55,['@siaradio'],producir y exportar para poder recuperar el campo los agricultores no solo necesitan tierra sino acceso al crédito y caminos en buen estado para sacar su producción en bogotá,producir y exportar para poder recuperar el campo el agricultor no solo necesitar tierra sino acceso al crédito y camino en buen estado para sacar su producción en bogotá
Óscar Iván Zuluaga,@OIZuluaga,110,104,396,['@siaradio'],he generado empleo sé lo que es pagar una nómina y la seguridad social siempre con amor y cariño por este país mi vida ha estado dedicada a promover empleo y bienestar en bogotá,haber generar empleo saber él que ser pagar uno nómina y el seguridad social siempre con amor y cariño por este país mi vida haber estar dedicado a promover empleo y bienestar en bogotá
