nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
María Fernanda Cabal,María Fernanda Cabal,2021-05-28T17:03:35.000Z,,,,,,
Stewar|,Stewar|,2021-05-28T17:29:06.000Z,"Oigan a esta, y que quien lo patrocina.",,1,,22,https://twitter.com/Stewar_Garay/status/1398330501849661448
London Calling,London Calling,2021-05-28T17:29:12.000Z,¿Preguntan quién lo patrocina para cobrarle el 5% de comisión?,,2,,79,https://twitter.com/BarkToTheMoon42/status/1398330527619325957
Santiago Diaz,Santiago Diaz,2021-05-28T17:29:34.000Z,"Mor, no sea bruta. El tipo tiene mucha plata. Es empresario y todo.",,3,6,872,https://twitter.com/sdiaz0397/status/1398330621727064065
DiegoBAD,DiegoBAD,2021-05-28T17:30:05.000Z,"El foro de sao Paulo, otra vez JAJAJAJAJA",,28,132,1.6K,https://twitter.com/ion_lenon/status/1398330751779807238
DiegoBAD,DiegoBAD,2021-05-28T17:33:43.000Z,Esa señora es un cáncer andante amigo hahah,,2,,290,https://twitter.com/ion_lenon/status/1398331665873833984
Jupiter,Jupiter,2021-05-28T17:30:34.000Z,La Unión Soviética seguramente.....,,,,29,https://twitter.com/Martin_Science1/status/1398330871694954498
el musulmán.,el musulmán.,2021-05-28T17:30:39.000Z,Usted tenía razón mi no tan querida y no tan admirada senadora. ,,,1,8,https://twitter.com/JulioLu31/status/1398330891869605894
,,2021-05-28T17:29:12.000Z,,,,,,https://twitter.com/BarkToTheMoon42/status/1398330527619325957
,,2021-05-28T17:29:34.000Z,,,,,,https://twitter.com/sdiaz0397/status/1398330621727064065
,,2021-05-28T17:30:05.000Z,"El foro de sao Paulo, otra vez JAJAJAJAJA",,28,132,1.6K,https://twitter.com/ion_lenon/status/1398330751779807238
AndrewD,AndrewD,2021-05-28T17:30:52.000Z,Que se puede esperar de un estupid@ estudie lea vaga malparida.,,,,289,https://twitter.com/d_andres19828/status/1398330948241051653
John Gamarra,John Gamarra,2021-05-28T17:31:04.000Z,"Luisito Comunica tiene ingresos aprox de USD 5M al año, a el no lo patrocina nadie, hay que informarse antes de preguntar",,2,1,222,https://twitter.com/johngamarra/status/1398330997696045056
Santiago,Santiago,2021-05-28T17:36:57.000Z,"El se patrocina solo jajaj la Cabal tiene miedo, la Cabal tiene miedo",,,1,117,https://twitter.com/cosadelavida_/status/1398332478843150343
