nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Óscar Iván Zuluaga,Óscar Iván Zuluaga,,,,,,,
Fer tweetero,Fer tweetero,2021-08-15T18:33:01.000Z,Debería estar preso o impedido al menos este corrupto ,,3,83,222,https://twitter.com/FernandoArangu9/status/1426975231814651907
Ed Ladino ,Ed Ladino ,2021-08-15T18:35:14.000Z,"Protegerla de ustedes los aliados de narcos y paramilitares, especialmente usted un corrupto.",,2,3,92,https://twitter.com/edladino_/status/1426975787505291265
Edmundo Del Castillo,Edmundo Del Castillo,2021-08-15T18:37:11.000Z,"De acuerdo, pero por favor, nada de respetar los acuerdos falsos de paz. Ese es un terrible error. Hay que ajustar lo que sea, mandar a la cárcel a éstos y derogar 
@JEP_Colombia",,2,3,6,https://twitter.com/e_del_castillo/status/1426976278113001475
arturo lobo-guerrero,arturo lobo-guerrero,2021-08-15T18:50:56.000Z,"Lo de la. 
@JEP_Colombia
  me. pregunto Dr Del Castillo si en el. Congreso de la República abra. ambiente para ese tipo de. reformas constitucionales , teniendo en cuenta que ese acuerdo de paz quedaron con estatus constitucional",,,,2,https://twitter.com/arturoloboguer/status/1426979737684123648
Kendry Vanegas Dieppa®,Kendry Vanegas Dieppa®,2021-08-15T18:37:29.000Z,"Usted no es el gallo, el gallo es 
@MariaFdaCabal",,15,3,14,https://twitter.com/kendryvandieppa/status/1426976353077841920
Julian carrillo,Julian carrillo,2021-08-15T18:43:29.000Z,"En ese caso sería gallina, su merced. Aunque yo la llamaría la buitre pero bueno",,4,1,28,https://twitter.com/jjcarrillosoyyo/status/1426977863329320962
German,German,2021-08-15T18:39:04.000Z,"Imbécil, cree que nosotros no leemos, Peru tiene mejores indices en lo social y econimico que la raquítica economia colombiana, la cual su partido a destruido. Solo un ejemplo es la segunda moneda mas devaluada en latino América despues de Vnzla, en lo q nos convirtieron.",,2,22,67,https://twitter.com/gecrepe/status/1426976751150829575
Andy,Andy,2021-08-15T19:05:33.000Z,Desmovilícese. Hay oro camino…,,2,,,https://twitter.com/DiosYLey/status/1426983419611856901
jacksonbms,jacksonbms,2021-08-15T18:39:08.000Z,"Que no ocurra lo que pasó en Perú cuando murieron 2 jóvenes en protestas y renunció el supuesto presidente.

Que Colombia se siga acostumbrándose a la muerte de sus ciudadanos. Hay que ""cuidar y proteger"" esa idea de democracia.",,,,1,https://twitter.com/jacksonbms/status/1426976767865237507
Julian carrillo,Julian carrillo,2021-08-15T18:42:02.000Z,"Volvió para seguir robando, no le alcanzó con la primera campaña, ladrón malparido",,,,1,https://twitter.com/jjcarrillosoyyo/status/1426977499926380547
Memìn,Memìn,2021-08-15T18:42:36.000Z,Los sectores afines de siempre es lo que tenemos que cambiar.,,1,38,111,https://twitter.com/SenorCaicedo/status/1426977641450639361
Edier Rivera.,Edier Rivera.,2021-08-15T18:43:02.000Z,"Sectores afines al uribismo en ""valores e ideas"": narcotraficantes, paramilitares, delincuentes, asesinos, extorcionistas y en general, toda clase de críminales.",,,4,13,https://twitter.com/e_rivera78/status/1426977750775123979
laureanogonzalez gar,laureanogonzalez gar,2021-08-15T18:49:49.000Z,OIZ hablando en idioma duquista que NO que SI y al final el SI....a los acuerdos,,,,1,https://twitter.com/laureanogonzal/status/1426979457361924100
Julia Esther Caicedo Rosero,Julia Esther Caicedo Rosero,2021-08-15T18:52:34.000Z,NO.MAS ZULUAGA,,,,1,https://twitter.com/julia_rosero/status/1426980149065551877
Colombia!!,Colombia!!,2021-08-15T18:54:42.000Z,Y que dice de los $70.000 millones que se tumbaron; en Perú ustedes ya estarían pagando cárcel; acá hacen lo que se les da la gana..,,,4,14,https://twitter.com/jamoli018/status/1426980688755105794
ex-fjvelezb,ex-fjvelezb,2021-08-15T18:54:45.000Z,"Replying to 
@OIZuluaga",,,1,1,https://twitter.com/EFjvelezb/status/1426980698238459909
Mauro,Mauro,2021-08-15T18:59:43.000Z,"CORRUPTO usted y su hijo.
A Colombia no se le olvida",,1,20,110,https://twitter.com/Mauro55432977/status/1426981949273411586
R. Barragán,R. Barragán,2021-08-15T22:25:23.000Z,"corruptos, el pueblo despierta y el que diga Uribe  jamas va quedar",,,,2,https://twitter.com/Ubarragan/status/1427033708926840837
William Jimenez,William Jimenez,2021-08-15T18:33:38.000Z,"Este es oto Bandido, corrupto. Las hacen y no tienen vegüenza.",,,,,https://twitter.com/williamjimenez2/status/1426975387117133827
David Ocampo,David Ocampo,2021-08-15T18:42:55.000Z,"Ni un voto por el uribismo, partido de ratas narcotraficantes.",,,,,https://twitter.com/DavidMercurio28/status/1426977722044194816
jose gabriel fonseca,jose gabriel fonseca,2021-08-15T19:00:38.000Z,"Corruptos y mitómanos de Colombia, ¡uníos!.",,,1,6,https://twitter.com/josegabrielfons/status/1426982179037454346
Alejandro,Alejandro,2021-08-15T19:02:53.000Z,"Replying to 
@OIZuluaga",,,,,https://twitter.com/Alejand71687969/status/1426982744911982592
jorge e. mosquera g.,jorge e. mosquera g.,2021-08-15T19:04:50.000Z,Entonces retire sus aspiraciones politicas y apoye a Maria Fernanda Cabal al periodo 2022 - 2026 .,,8,,6,https://twitter.com/joremos102/status/1426983236354428933
Bat,Bat,2021-08-15T19:05:50.000Z,"Deje de meter miedo, no le creo nada. Otra vez con el cuento de Venezuela. Hay 70.000.000.000 de razones HONORABLES para no creerle. Cambie de paquete chileno, diga que es la Revolución Molecular Disipada y le creo más. Un programa serio se basa en propuestas y no en chismes.",,,,,https://twitter.com/Wilmar80790715/status/1426983488427896835
Andrés,Andrés,2021-08-15T19:07:07.000Z,jajajaja acá en peru estamos muy bien. Gracias   ojalá El próximo año los saquemos del poder a todos ustedes.  LADRONES ,,,,,https://twitter.com/andresjaralo/status/1426983810437156868
Risikofaktor,Risikofaktor,2021-08-15T19:07:08.000Z,"Debe haber un grupo de trabajo. 

Pero el líder debe tener CARISMA SUFICIENTE. Para enamorar a las juventudes.

Si a esas a quienes les vienen trabajando la mente con impresoras de billetes y mundos sin petróleo. 

Por eso 
@MariaFdaCabal
 tiene ese liderazgo. LAS MUJERES clave!",,,,,https://twitter.com/Risikofaktor/status/1426983816497930241
Noestiempodecallar,Noestiempodecallar,2021-08-15T19:10:48.000Z,#PorAmorA.                                #NosUnimosONosHundimos       Democracia O Socialismo,,1,,,https://twitter.com/mivozdenuncia/status/1426984738204553219
Arquitectura y Confort ARB,Arquitectura y Confort ARB,2021-08-15T19:13:20.000Z,Jajaja,,,,,https://twitter.com/Barona48301707/status/1426985375692636164
David Rozo,David Rozo,2021-08-15T19:18:22.000Z,"""No caigan en la izquierda que restringe libertades"" dice la derecha que mata jóvenes en las calles.",,20,289,1.4K,https://twitter.com/DonIzquierdo_/status/1426986644947804167
Oscar Julian Hernandez,Oscar Julian Hernandez,2021-08-15T19:25:11.000Z,"Jajajajaja, ahora el miedo va ser, no ser como Perú; el chiste se cuenta solo",,1,22,187,https://twitter.com/osjuhe/status/1426988359625359369
