nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link
María Fernanda Cabal,@MariaFdaCabal,2021-08-28T21:53:11.000Z,"Visitamos Buga, la ciudad donde nacieron mis cuatro abuelos y un lugar emblemático, de peregrinación y turismo.

Volver a nuestras raíces nos da la conciencia de pertenecer y amar a Colombia.0:19
10,3 mil reproducciones",,161,488,"1,6 mil",https://twitter.com/MariaFdaCabal/status/1431736648027492355
María Fernanda Cabal,@MariaFdaCabal,2021-08-28T19:37:07.000Z,"Gracias a mis amigos de Tuluá por el cariño con el que me reciben. Trabajaremos juntos para que haya respeto por la comunidad y las instituciones.

#SoyCabal",,254,500,"1,5 mil",https://twitter.com/MariaFdaCabal/status/1431702403900977160
María Fernanda Cabal,@MariaFdaCabal,2021-08-28T14:26:37.000Z,"Vaya, vaya... maletines abandonados, bolsas negras, fajos y ellos tranquilos. Normalizando lo anormal. Terminan juntándose porque se parecen.La historia del maletín de Roy Barreras
El senador lo dejó abandonado en un reconocido hotel del centro de Bogotá. Al lugar llegaron hasta los policías antiexplosivos. Dentro había fajos de billetes. Todo quedó registrado en un video.
semana.com",,925,"3,1 mil","5,2 mil",https://twitter.com/MariaFdaCabal/status/1431624264755646464
María Fernanda Cabal,@MariaFdaCabal,2021-08-27T23:09:02.000Z,"¡Qué alegría estar en mi tierra!

Compartí con líderes del Valle del Cauca. Amamos nuestro departamento y seguiremos trabajando unidos para reconstruirlo.",,123,389,"1,2 mil",https://twitter.com/MariaFdaCabal/status/1431393345247526918
María Fernanda Cabal,@MariaFdaCabal,2021-08-25T22:42:47.000Z,"2/2 ¿Por qué tenemos que terminar nosotros, con el garrote de estructuras creadas en un acuerdo negado por la voluntad popular? ¿Por qué le temen a un amnistía general? 

#LasCosasComoSon",,18,154,264,https://twitter.com/MariaFdaCabal/status/1430661965748359173
María Fernanda Cabal,@MariaFdaCabal,2021-08-25T22:29:55.000Z,"Quiero una amnistía mucho más amplia y yo sí quiero pasar la página, pero sin descuidar a las verdaderas víctimas que hoy son mendigos de un Estado con un pésimo diseño institucional.

Intervención de hoy en la Comisión Primera

#LasCosasComoSonDe 
Andres Felipe Arcos",,105,503,898,https://twitter.com/MariaFdaCabal/status/1430658725145108482
María Fernanda Cabal,@MariaFdaCabal,2021-08-25T22:10:43.000Z,"¡Qué hermoso detalle para el soldado César Andrés Castellanos Rojas, de parte de su padre! 

¡Un feliz cumpleaños a nuestro héroe! 

Yo también quiero ser parte de esta celebración. Ayúdenme a contactarlo.0:58
18,7 mil reproducciones",,112,829,"2,4 mil",https://twitter.com/MariaFdaCabal/status/1430653894468702211
María Fernanda Cabal,@MariaFdaCabal,2021-08-25T17:15:04.000Z,"Excelente.Citar Tweet
Wilson Ruiz Orejuela
@WilsonRuizO
 · 25 ago.
Hoy, por designación del Pdte @IvanDuque, tomé juramento como Alcalde ad hoc de Santiago de Cali para atender lo relacionado al cumplimiento de protocolos de bioseguridad en la fase de recolección de apoyos para la revocatoria del mandato que cursa contra el alcalde de Cali.",,60,437,"1,2 mil",https://twitter.com/MariaFdaCabal/status/1430579491445817351
María Fernanda Cabal,@MariaFdaCabal,2021-08-25T16:06:20.000Z,"Éste premio es exclusivo para criminales de lesa humanidad como los bandidos de las farc.Citar Tweet
Iván Cancino
@CancinoAbog
 · 25 ago.
Ni Epa Colombia ni ningún colombiano que haya sido condenado por delitos dolosos puede aspirar al Congreso de la República u ocupar la mayoría de cargos públicos. Ella aceptó dos delitos @RevistaSemana https://semana.com/nacion/articulo/epa-colombia-puede-llegar-a-ser-senadora-o-no-esto-advierten-expertos-penalistas/202136/…",,134,762,"1,5 mil",https://twitter.com/MariaFdaCabal/status/1430562194681380876
María Fernanda Cabal,@MariaFdaCabal,2021-08-25T16:02:29.000Z,"El exgobernador de Córdoba listo para aterrizar en Colombia y destapar la corrupción: 150.000...
Un juez prorrogó el principio de oportunidad otorgado por la fiscalía de NHM para que eche al agua a sus antiguos socios y responda por sus delitos
las2orillas.co",,12,104,187,https://twitter.com/MariaFdaCabal/status/1430561225126125579
María Fernanda Cabal,@MariaFdaCabal,2021-08-23T21:27:15.000Z,"Si estás en Bogotá, te invito a hacer parte de la comunidad #SoyCabal, ingresando a mi grupo de WhatsApp para la capital del país.

Da clic al enlace y entérate de las últimas noticias y contenidos de mi actividad política y legislativa   https://chat.whatsapp.com/CtbnuX0ogl49QB0JmZu89r…",,150,288,617,https://twitter.com/MariaFdaCabal/status/1429918178935705604
María Fernanda Cabal,@MariaFdaCabal,2021-08-23T20:14:24.000Z,Indígenas en el Cauca invaden propiedad de empresa privada y causan grave daño ambiental | http://ELNodo.co http://elnodo.co/indigenas-en-el-cauca-invaden-propiedad-de-empresa-privada-y-causan-grave-dano-ambiental…,,146,1 mil,"1,4 mil",https://twitter.com/MariaFdaCabal/status/1429899848355098624
María Fernanda Cabal,@MariaFdaCabal,2021-08-23T20:13:17.000Z,"Santos, perverso y desleal, el verdadero ""hombre de atrás"". Por eso daba órdenes al sindicalista Maltés, durante la toma guerrillera llamada Paro.Citar Tweet
Álvaro Uribe Vélez
@AlvaroUribeVel
 · 23 ago.
Colusión Santos, algunos miembros de la Comisión de la Verdad y Farc para judicializarme, para amañar la verdad.",,103,760,"1,2 mil",https://twitter.com/MariaFdaCabal/status/1429899565902270469
María Fernanda Cabal,@MariaFdaCabal,2021-08-23T16:36:51.000Z,"Los neoinquisidores son personas que persiguen, atacan y censuran a quienes piensan diferente. La neoinquisición es propia de todos los movimientos totalitarios, que llegan a usar la violencia para imponerse aunque sean minoría.",,185,566,775,https://twitter.com/MariaFdaCabal/status/1429845097642876933
