nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link
Óscar Iván Zuluaga,@OIZuluaga,2021-08-11T19:28:57.000Z,"Quiero anunciarles que buscaré la presidencia de nuestro país, lo haré con una propuesta innovadora, de inclusión y que estimule consensos. Con el fin de construir un país que proteja las diferencias y que no permita las desigualdades. #CECAndiANDI",,905,601,1.2K,https://twitter.com/OIZuluaga/status/1425539754188288007
Óscar Iván Zuluaga,@OIZuluaga,2021-09-03T15:58:13.000Z,La única justicia que funciona es la que le da paz y tranquilidad a un país. La Corte debió entender eso antes de abolir la cadena perpetua para asesinos y violadores de niños.,,38,68,125,https://twitter.com/OIZuluaga/status/1433821644703866887
Selección Colombia,@FCFSeleccionCol,2021-09-02T21:31:52.000Z," 68' Goooooooooool de Roger Martíneeeeeeeeez. Gooooooool de Colombiaaaaaa. 

 - 

#VamosColombia ",,135,654,3.3K,https://twitter.com/FCFSeleccionCol/status/1433543219032190997
Óscar Iván Zuluaga,@OIZuluaga,2021-09-02T12:41:54.000Z,"Recuperación del campo la conseguiremos construyendo y mejorando vías de acceso para que el campesino pueda sacar sus productos en todo momento. Al hacer del campo un buen negocio, los colombianos tendrán opción de quedarse en su tierra. - Radio Cordillera Todelar, #Cundinamarca",,129,80,167,https://twitter.com/OIZuluaga/status/1433409849052835845
,,2021-09-03T15:58:13.000Z,,,38,68,125,https://twitter.com/OIZuluaga/status/1433821644703866887
Óscar Iván Zuluaga,@OIZuluaga,2021-09-02T12:38:22.000Z,"Crearemos oportunidades para que inviertan nacionales y extranjeros. La economía crecerá, las empresas crecerán  y pagarán mejor a sus empleados. Ya lo hice en el sector público y privado. Sé cómo hacerlo. - Radio Cordillera Todelar, #Cundinamarca",,56,79,232,https://twitter.com/OIZuluaga/status/1433408959461957632
Óscar Iván Zuluaga,@OIZuluaga,2021-09-02T12:03:13.000Z,"Hay que volver a Colombia un país productor y exportador. Asi, miles de millones de dólares entran a nuestro país directo al bolsillo de los colombianos. - en Radio Cordillera Todelar, #Cundinamarca",,415,205,580,https://twitter.com/OIZuluaga/status/1433400115528601608
Óscar Iván Zuluaga,@OIZuluaga,2021-09-02T11:48:12.000Z,"Tenemos que dar respuesta inmediata a la preocupación de los jóvenes: educación de calidad y empleos bien remunerados. Colombia no puede esperar más. - en Radio Cordillera Todelar, #Cundinamarca",,31,43,101,https://twitter.com/OIZuluaga/status/1433396335110234116
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T13:10:10.000Z,"Hoy el 41% de los jefes cabeza de hogar son mujeres, por lo que tenemos que garantizarles que les vamos a dar empleo y cuidar, educar y alimentar a sus niños y jóvenes. - en 
@BacataStereoFM
, #Funza",,38,53,124,https://twitter.com/OIZuluaga/status/1433054574844207105
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T13:06:06.000Z,"El reto del desarrollo de la Sabana Occidente es mejorar la movilidad y conectividad. Esta región ha crecido de forma impresionante y el tren de cercanías junto a la ampliación de la Calle 13 son fundamentales para su gente. - En 
@BacataStereoFM
, #Funza",,9,39,74,https://twitter.com/OIZuluaga/status/1433053552646230018
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T12:34:14.000Z,"Tenemos que reorientar la Dian. El contrabando cuesta al año 5000 millones de dólares. Ahí están los recursos que el país necesita 
@BacataStereoFM
 - Funza",,315,175,400,https://twitter.com/OIZuluaga/status/1433045534453944321
Óscar Iván Zuluaga,@OIZuluaga,2021-09-01T03:15:43.000Z,"En 
@NocturnaRCN
: A mis opositores tengo que derrotarlos con votos ¿Cómo se hace? Con las mejores propuestas, ¡es la única forma! ",,457,158,392,https://twitter.com/OIZuluaga/status/1432904977392054278
