nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link
Gustavo Petro,@petrogustavo,2020-09-30T22:25:48.000Z,"Cuando se demuestra que la policía asesinó ciudadanos indefensos en las manifestaciones, el gobierno decide que la acción del Esmad será ordenada por la policai y no por la autoridad civil.

El estado policiacoPolicía y no Alcaldía tendría facultad para accionar Esmad en protestas
Caracol Radio pública el borrador que elaboró el Gobierno Nacional, que incluye manejo de manifestaciones, regulación de armas, entre otros.
caracol.com.co",,155,911,1.8K,https://twitter.com/petrogustavo/status/1311432081440944133
Gustavo Petro,@petrogustavo,2020-09-30T21:01:58.000Z,"El llamado protocolo de la protesta social, no es sino un método para romper los derechos fundamentales de la Constitución, para la movilización no se pide permiso, la movilización se autoconvoca.",,347,2.6K,8.1K,https://twitter.com/petrogustavo/status/1311410987103330305
Gustavo Petro,@petrogustavo,2020-09-30T18:47:14.000Z,"Será que al retransmitir series, RCN y Caracol le vuelven a pagar a los actores? o será que  ganan la plata gracias al trabajo actoral que no pagan?RCN Radio
@rcnradio
 · Sep 30, 2020
Francisco, el matemático vuelve luego de 21 años de su estreno y así se ve su protagonista https://rcnradio.com/entretenimiento/francisco-el-matematico-vuelve-luego-de-21-anos-de-su-estreno-y-asi-se-ve-su…",,475,1.6K,5.7K,https://twitter.com/petrogustavo/status/1311377079708069891
Gustavo Petro,@petrogustavo,2020-09-30T18:43:28.000Z,"Lo que no puede hacer la indignidad de duque , lo acaba de hacer el Papa Francisco. No recibirá a Pompeo hasta que se hagan las elecciones en EEUU.Delia Gallagher
@deliacnn
 · Sep 30, 2020
Pope Francis will not meet with US Sec of State Pompeo during his two-day visit to Rome because it’s too close to US election, Vatican Foreign Minister Paul Gallagher tells journos after ⁦@USinHolySee⁩ event on religious freedom on Wednesday.

Below @SecPompeo leaving event",,104,912,2.3K,https://twitter.com/petrogustavo/status/1311376132839813123
Gustavo Petro,@petrogustavo,2020-09-30T17:20:39.000Z,"La explotación de carbón del Cerrejón, hace más vulnerable al covid a la comunidad Wayúu. Lo dicen los expertos de Naciones Unidas.UN Special Procedures
@UN_SPExperts
 · Sep 28, 2020
 #Colombia should suspend some operations at one of the world’s largest coal mines  It has seriously damaged the environment and health of the country’s largest indigenous community, and is making them more vulnerable to #COVID19 – @SREnvironment: http://ow.ly/6iR950BDhh7",,33,374,827,https://twitter.com/petrogustavo/status/1311355287593463810
Gustavo Petro,@petrogustavo,2020-09-29T20:15:25.000Z,"Ecuador se levanta contra el intento de fraude electoral.

El gobierno intenta que el candidato que encabeza las encuestas , Andrés Arauz, progresista, no pueda inscribirse.Rafael Correa
@MashiRafael
 · Sep 29, 2020
¡Impresionante!
¡La gente perdió el miedo!
#ElPeorGobiernoDeLaHistoria , su candidato Lasso, y el CNE saben que sin la pandemia, todo el país estaría en las calles.
¡Hasta la victoria siempre!",,118,1.2K,2.8K,https://twitter.com/petrogustavo/status/1311036883166691329
Gustavo Petro,@petrogustavo,2020-09-29T15:24:58.000Z,"Investigado en los EEUU por lavado de dólares y sobornos de Odebrecht el gran estratega del uribismo JJ Rendón.

Informe de calidad periodística
 https://armando.info/Reportajes/Details/5667…",,64,807,1.3K,https://twitter.com/petrogustavo/status/1310963790507315200
Gustavo Petro,@petrogustavo,2020-09-29T15:06:26.000Z,"Este sacerdote usaba la confesión para hacer el listado de personas que los 12 apóstoles asesinarían en conjunto con la policía.

Era el fascismo en el norte de Antioquia, el cura Palacio acaba de morir de viejo sin ser juzgado por sus crímenes, su socio era Santiago Uribe VélezEL TIEMPO
@ELTIEMPO
 · Sep 29, 2020
Vía @Uinvestigativa | Lo que dijo el fallecido cura Gonzalo Palacio del caso de los ‘12 apóstoles’ por la conformación del grupo paramilitar ‘los 12 Apóstoles’, que hoy tiene llamado a juicio a Santiago Uribe Vélez.  https://eltiempo.com/unidad-investigativa/lo-que-dijo-el-cura-gonzalo-palacio-del-caso-de-los-12-apostoles-fallecido-el-sabado-540440?utm_medium=Social&utm_source=Twitter#Echobox=1601391455…",,122,1.2K,2.3K,https://twitter.com/petrogustavo/status/1310959126500040704
Gustavo Petro,@petrogustavo,2020-09-29T14:57:56.000Z,"Hay que ilegitimar las sesiones virtuales de un Congreso de pacotilla con la presencialidad de las bancadas independientes y de la oposición.

Se trata de recuperar el parlamento colombiano para evitar la caída en la dictadura del paísUn Congreso de la República de pacotilla - Cuarto de Hora
Un Congreso de la República de pacotilla: Columna de Gustavo Petro para Cuarto de Hora en la sección Los Gustavos.
cuartodehora.com",,41,340,715,https://twitter.com/petrogustavo/status/1310956984498360322
Gustavo Petro,@petrogustavo,2020-09-29T14:29:34.000Z,"Además de la masacre cometida por el gobierno de Duque en Bogotá hay nueve personas desaparecidas. En varios casos con evidencia de desaparición forzada. Son crímenes contra la humanidad cometidos en Bogotá y por el gobierno.El Espectador Bogotá
@BogotaEE
 · Sep 29, 2020
Hasta el 21 de septiembre, estas nueve personas estaban reportadas como desaparecidas tras las protestas del #9s ¿Conoce a alguna? 
- Jhon Alexander Payome Amaya
- Iván Leonardo Leal Loaiza
- Joseph Rodríguez Rodríguez
(sigue lista en el siguiente Tweet)
https://elespectador.com/noticias/bogota/hay-al-menos-cuatro-personas-desaparecidas-desde-protestas-del-9-de-septiembre-en-bogota/…
Show this thread",,40,456,730,https://twitter.com/petrogustavo/status/1310949847873314822
