nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link
Sergio Fajardo,@sergio_fajardo,2021-03-31T14:42:02.000Z,"En espera que la FGN me cite para entender la imputación. Como siempre, listo para responder por mis actuaciones, pero pediré formalmente al Fiscal General que presida un comité técnico jurídico para revisar la improcedencia de esta imputación.",,1 mil,752,"3,2 mil",https://twitter.com/sergio_fajardo/status/1377269965582123019
Sergio Fajardo,@sergio_fajardo,2021-03-29T14:36:37.000Z,"Seguridad sin adjetivos es lo que necesitamos en TODO el territorio nacional.  Desplazamientos, bombas, asesinatos son la marca de un país que ha dejado en el olvido a gran parte de su territorio, donde impera la barbarie. #UnaCalamidad que hoy se ve en Arauca y Cauca.",,236,110,391,https://twitter.com/sergio_fajardo/status/1376543824349106176
Sergio Fajardo,@sergio_fajardo,2021-03-29T00:37:06.000Z,"Ciclistas y conductores necesitamos liderar con el ejemplo: respeto y tolerancia. Bien por 
@team_medellin
 que creó la campaña #PactoPorLaVida. Nos sumamos ",,26,55,225,https://twitter.com/sergio_fajardo/status/1376332551908909056
Sergio Fajardo,@sergio_fajardo,2021-03-27T23:49:56.000Z,"El ejercicio que estamos haciendo es ejemplar y demuestra cómo entre diferentes podemos construir. El 22 de abril vamos a presentar cómo vamos a llegar al Congreso y definir quién nos representará en las elecciones presidenciales.Sergio Fajardo: ’Me senté con Ángela María Robledo a construir’
Fajardo explicó la Coalición de la Esperanza, en la que lo acompañan Jorge Robledo, Ángela María Robledo, Cristo, Juan M Galán y De La Calle.
sergiofajardo.co",,118,54,226,https://twitter.com/sergio_fajardo/status/1375958294976720902
Sergio Fajardo,@sergio_fajardo,2021-03-27T23:49:33.000Z,"En la Coalición de la Esperanza  estamos personas con diferentes recorridos. Nos unen unos principios éticos, la forma de entender la política, la democracia y la sociedad. Queremos ser una plataforma que convoque a muchas personas para formar una fuerza por fuera de los extremos",,"1,5 mil",356,962,https://twitter.com/sergio_fajardo/status/1375958200931991553
Sergio Fajardo,@sergio_fajardo,2021-03-27T14:56:41.000Z,"En Tinjacá, Boyacá. Cuando salgan a montar en bicicleta pueden parar un rato y mi colega El Profe los atiende en su restaurante.",,216,75,389,https://twitter.com/sergio_fajardo/status/1375824098685767681
Sergio Fajardo,@sergio_fajardo,2021-03-19T03:31:44.000Z,"Rosita es una valiente defensora de los derechos humanos en el Magdalena. Nuevamente está amenazada. Se tiene que proteger. UrgenteLuis Miguel Moises Garcia-Peña
@lumois
 · 18 mar.
Exijo que se le proteja la vida a @rositaj2 No puede seguir sucediendo que por pensar diferente te maten. 

Rosita, cuentas con mi apoyo incondicional!!! Y tu voz seguirá mucho más fuerte, tu liderazgo más vigente.",,9,37,109,https://twitter.com/sergio_fajardo/status/1372752623246307337
Sergio Fajardo,@sergio_fajardo,2021-03-19T02:05:27.000Z,"Gobernar es difícil y hacerlo en pandemia lo es mucho más. La alcaldesa Claudia ha estado a la altura del reto. Naturalmente con dificultades y errores, pero con la fortaleza para superar múltiples obstáculos. El 2021 será mejor. Adelante, sin mirar para los lados.Claudia López
@ClaudiaLopez
 · 18 mar.
Honrando los mandatos anticorrupción hoy rendimos cuentas a la ciudadanía de los dos planes de gobierno, el que eligieron en las urnas y el que nos impuso la pandemia.

Seguiremos redoblando esfuerzos, trabajando 24/7 para cumplirle a la ciudadanía. 

¡Vamos a salir adelante!",,132,62,464,https://twitter.com/sergio_fajardo/status/1372730907665256457
Sergio Fajardo,@sergio_fajardo,2021-03-18T14:33:04.000Z,"Únete a nuestra campaña. Escribamos una nueva historia juntos:Regístrate para conocer más sobre Sergio Fajardo
Apostarle a la transformación de la política es un compromiso de todos, déjanos tus datos para recibir información sobre las propuestas y la campaña de Sergio Fajardo.
sergiofajardo.co",,79,16,39,https://twitter.com/sergio_fajardo/status/1372556667175497736
Sergio Fajardo,@sergio_fajardo,2021-03-18T14:31:58.000Z,"Únete a nuestra campaña. Escribamos una nueva historia juntos:Regístrate para conocer más sobre Sergio Fajardo
Apostarle a la transformación de la política es un compromiso de todos, déjanos tus datos para recibir información sobre las propuestas y la campaña de Sergio Fajardo.
sergiofajardo.co",,10,7,32,https://twitter.com/sergio_fajardo/status/1372556388791164931
