id,nombre,grupo,descripcion
242730842,Vicky DÌÁvila,Periodista,conÌ©ctate a las 12 a https://t.co/8yYNFZ7Uif y a nuestro #FacebookLive
337783129,Julio SÌÁnchez Cristo,Periodista,Perfil oficial de Julio SÌÁnchez Cristo: director de W Radio Colombia.
201398373,Salud HernÌÁndez-Mora,Periodista,Periodista.
184590625,Pacho Santos,Politico,Pacho Santos.  De regreso al periodismo. Exmbajador de Colombia en USA 2018-2021. Vicepresidente de Colombia 2002-2010. Periodista y columnista 1984-2002.
174492304,Daniel Coronell,Periodista,Periodista.
174443391,MarÌ?a Jimena DuzÌÁn,Periodista,Periodista. SuscrÌ?base a nuestro canal de YouTube https://t.co/1Sp0DS6FeD
170714191,Juan Lozano,Politico,0
137908875,Claudia LÌ?pez ?ÙÔ,Politico,"Primera Alcaldesa de Bogotaí. Orgullosa bogotana y ciudadana. åÁInspiramos, unimos y ganamos! #ClaudiaAlcaldesa ?ÙÕ??ÙÕÏ #JuntosCuidamosBogotÌÁ"
108717093,Enrique PeÌ±alosa,Politico,Instagram: https://t.co/iaqnIrKYXZ
66740100,Camila Zuluaga,Politico,"Journalist, Political Scientist, and MPA @Columbia. Fulbrighter, Democracy defendant, Vegetarian, Dog Lover. I always speak in a direct way. WA:57-3017644108"
97452391,Antonio Navarro,Politico,Premiado como el mejor alcalde de Colombia en 1997. Co Presidente Vocero de la Alianza Verde
64419705,El Colombiano,Mediocomunicacion,"Medio de comunicaciÌ?n con 109 aÌ±os de existencia. InformaciÌ?n actual, exclusiva y de anÌÁlisis. Bienvenidos."
67654599,Noticentro 1 CM&,Mediocomunicacion,"SÌ?ganos en Facebook ?ÙÔä https://t.co/jUO1FYM1If

Emisiones de lunes a viernes:
11:00 a.m. | 8:00 p.m. | DirecciÌ?n general: @YamidAmatCMI"
35013719,Noticias RCN,Mediocomunicacion,"Nuestra responsabilidad es confrontar opiniones, darle voz a los colombianos y buscar soluciones que los ayuden en su dÌ?a a dÌ?a. Noticias RCN no se detiene"
22488241,Antanas Mockus,Politico,Defensor de la vida. IdeÌ?logo de la #CulturaCiudadana. Exrector de la UN. Dos veces alcalde de BogotÌÁ. #LaVidaEsSagrada
20560294,W Radio Colombia,Mediocomunicacion,"Perfil oficial de W Radio en Colombia, bajo la direcciÌ?n de Julio SÌÁnchez Cristo. MÌÁs piel, mÌÁs W."
813286,Barack Obama,Politico,"Dad, husband, President, citizen."
32211946,Hassan Nassar,Politico,‰ÛÏlaw ÁÌÁ llÌÁh‰Û
3376511,Juan Pablo CalvÌÁs,Periodista,Editor General en @wradiocolombia / Columnista en @ELTIEMPO / si doy RT es porque valoro su opiniÌ?n asÌ? no la comparta.
9633802,EL TIEMPO,Mediocomunicacion,"Principales noticias de Colombia, el mundo, deportes, economÌ?a, polÌ?tica, tecnologÌ?a, cultura, estilo de vida, tendencias y mucho mÌÁs. El Tiempo Casa Editorial."
17813487,Noticias Caracol,Mediocomunicacion,"Uíltimas noticias de Colombia y el mundo en @NoticiasCaracol, primero en noticias. ConÌ©ctese con #NoticiasCaracolAhora ?ÙÔà"
2874285407,Alejandro OrdÌ?Ì±ez,Politico,"Hijo, esposo, orgulloso padre, feliz abuelo y abogado. Creo en Dios, en mi Patria, la familia, la justicia y en un paÌ?s mejor. Embajador de Colombia ante la OEA"
2830440814,Leonidas GÌ?mez,Politico,"?ÙÒöEmpresario/?Ùİ•üExsenador de Colombia / Diputado de @asambleastder?Ùİ•ü/ 
Presidente de @dignidad_col capÌ?tulo Santander?ÙÕÏ?Ù¤Á#UnaNuevaEsperanzaParaColombia?Ùà¬?Ùà«"
1301761278,AndrÌ©s Pastrana A,Politico,"Presidente de Colombia, 1998-2002"
525264466,Papa Francisco,Religion,Bienvenido al Twitter oficial de Su Santidad Papa Francisco
858741475,Pacho Alerta,otros,PayanÌ©s...
458755731,Rigoberto UrÌÁn ?øU,PEP,Monto en bicicleta y soy mas Colombiano que un verraco!!! contacto@gorigogo.com
622082899,BluRadio Colombia,Mediocomunicacion,"FM BogotÌÁ 89.9, Barranquilla 100.1, MedellÌ?n 97.9, Cali 91.5, Villavicencio 96.3, Neiva 103.1, Eje Cafetero 94.1, BoyacÌÁ 103.1, Cartagena 93.5 Bucaramanga 960AM"
351726568,Fedesarrollo,Empresa,"Centro de investigaciÌ?n econÌ?mica y social. Contribuimos al diseÌ±o, seguimiento y mejoramiento de las polÌ?ticas pÌ¼blicas.  Director Ejecutivo: @LuisFerMejia"
312887235,Presidencia Colombia ?Ùà¬?Ùà«,Politico,"Cuenta oficial de la Presidencia de la RepÌ¼blica de Colombia. Construyendo un paÌ?s con Legalidad, Emprendimiento y Equidad. #ElFuturoEsDeTodos"
266893089,ANDI,Empresa,AsociaciÌ?n Nacional de Empresarios de Colombia. Desde 1944 trabajando por el desarrollo empresarial y del paÌ?s ?Ùà¬?Ùà«#UnidosSomosMÌÁsPaÌ?s
198984928,Marta LucÌ?a RamÌ?rez,Politico,#ElFuturoEsDeTodos y la #Igualdad la mayor herramienta de desarrollo de nuestro paÌ?s. Vicepresidenta y Canciller de la RepÌ¼blica de #Colombia. ?Ùà¬?Ùà«
179584524,Luis Fernando Velasco Chaves ?Ù?©,Politico,?Ùà¬?Ùà« Senador de la RepÌ¼blica ?Ùİ| Defensor: #IndNacional #Confecciones Autor: #HabeasData #BorrÌ?nyCuentaNuevaYA #RegalÌ?as #PrÌ?ceres #Vigilantes #RebajaGasolina
268322810,Jorge Enrique Robledo,Politico,"Arquitecto, 26 aÌ±os profesor de la U.Nacional de Colombia. Senador de la RepÌ¼blica. Hago parte de @dignidad_col. #UnaNuevaEsperanzaParaColombia"
185763733,Paola HolguÌ?n ?Ùà¬?Ùà«,Politico,"Ciudadana que cree en la lucha por la democracia. Senadora de Colombia por el Centro DemocrÌÁtico 2014-18, 2018-22 https://t.co/4wokqVWysz"
