nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-28T17:33:49.000Z,#AEstaHora  a través de Instagram el Ingeniero Rodolfo en entrevista con Última Hora: http://bit.ly/entrevistta_28agos2021…,,10,15,81,https://twitter.com/ingrodolfohdez/status/1431671372447617026
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-28T02:51:27.000Z,SOBRE LA FINANCIACIÓN DE LA CAMPAÑA: EL AUDIO NUNCA SE FILTRÓ #IngRodolfo,,185,232,610,https://twitter.com/ingrodolfohdez/status/1431449318553174017
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-27T22:48:06.000Z,"En respuesta a 
@german_ricaurte
 y 
@DanielSamperOEn el mismo lugar donde compro los pantalones y me quedan bien puestos ¡mejor que las medias!",,3,3,24,https://twitter.com/ingrodolfohdez/status/1431388080523595777
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-27T16:24:10.000Z,"@andresmarocco
 lo invito a #Bucaramanga a conocer los escenarios deportivos de alta calidad y de talla mundial que pude ejecutar en mi alcaldía y como le dije en vivo en 
@Superestacion
: si quiere lo llevo alzado  ¡un abrazo!",,52,19,118,https://twitter.com/ingrodolfohdez/status/1431291458896777218
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-27T15:47:37.000Z,"Rueda de prensa con El Ingeniero Rodolfo desde Cali, véala aquí : https://bit.ly/CALI_Ruedadeprensa_27agosto2021…",,24,30,122,https://twitter.com/ingrodolfohdez/status/1431282259080929281
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-25T21:28:43.000Z,Mil gracias a todos los colombianos que se conectaron hoy a los #5MinutosConElIngeniero a través de instagram.,,10,19,162,https://twitter.com/ingrodolfohdez/status/1430643324168327174
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-25T21:21:09.000Z,"""El que compra votos para llegar, llega a robar"" - #IngRodolfo",,84,119,613,https://twitter.com/ingrodolfohdez/status/1430641421619539970
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-24T17:33:37.000Z,"""Mi mejor inversión es apoyar y unirme con el pueblo colombiano"" - #IngRodolfo con 
@VickyDavilaH
 en 
@RevistaSemana
.Citar Tweet
Revista Semana
@RevistaSemana
 · 24 ago.
#RodolfoHernándezEs | El exalcalde de Bucaramanga y ahora precandidato presidencial Rodolfo Hernández habla en SEMANA acerca de la polémica conversación en la que insulta a un cliente. Esto es #VickyEnSemana con @VickyDavilaH. https://twitter.com/i/broadcasts/1LyGBdgDVRbxN…",,15,17,77,https://twitter.com/ingrodolfohdez/status/1430221772188798979
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-24T17:22:09.000Z,"#RodolfoHernándezEs ""Soy un hombre trabajador que tiene claro qué tiene que hacer por Colombia "" - #IngRodolfoCitar Tweet
Revista Semana
@RevistaSemana
 · 24 ago.
#RodolfoHernándezEs | El exalcalde de Bucaramanga y ahora precandidato presidencial Rodolfo Hernández habla en SEMANA acerca de la polémica conversación en la que insulta a un cliente. Esto es #VickyEnSemana con @VickyDavilaH. https://twitter.com/i/broadcasts/1LyGBdgDVRbxN…",,17,11,74,https://twitter.com/ingrodolfohdez/status/1430218887270916097
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-24T17:10:12.000Z,"""NUNCA PODRÁN DECIR QUE RODOLFO HERNÁNDEZ SE HA ROBADO UN PESO DE ALGUIEN"" - #IngRodolfo En entrevista con 
@VickyDavilaH
 en 
@RevistaSemana
 .Citar Tweet
Revista Semana
@RevistaSemana
 · 24 ago.
#RodolfoHernándezEs | El exalcalde de Bucaramanga y ahora precandidato presidencial Rodolfo Hernández habla en SEMANA acerca de la polémica conversación en la que insulta a un cliente. Esto es #VickyEnSemana con @VickyDavilaH. https://twitter.com/i/broadcasts/1LyGBdgDVRbxN…",,15,21,81,https://twitter.com/ingrodolfohdez/status/1430215879829168135
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-24T17:08:17.000Z,"Con respecto al audio ""Yo sé que hice mal, pero él me llevó al extremo, fueron reacciones emocionales que no se van a repetir” - En entrevista con 
@VickyDavilaH
  en 
@RevistaSemana
 .Citar Tweet
Revista Semana
@RevistaSemana
 · 24 ago.
#RodolfoHernándezEs | El exalcalde de Bucaramanga y ahora precandidato presidencial Rodolfo Hernández habla en SEMANA acerca de la polémica conversación en la que insulta a un cliente. Esto es #VickyEnSemana con @VickyDavilaH. https://twitter.com/i/broadcasts/1LyGBdgDVRbxN…",,127,47,208,https://twitter.com/ingrodolfohdez/status/1430215398406991873
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-24T01:03:57.000Z,"Mi contrato social con las familias campesinas . #HableConElIngeniero en vivo:Ing Rodolfo Hernández Suarez - MI CONTRATO SOCIAL CON LAS FAMILIAS...
MI CONTRATO SOCIAL CON LAS FAMILIAS CAMPESINAS: Los campesinos hacen el trabajo y los intermediarios hacen la plata. #IngRodolfo Powered by Restream...
facebook.com",,25,26,102,https://twitter.com/ingrodolfohdez/status/1429972716954734593
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-23T16:43:34.000Z,#RodolfoHernandezSuperaAPetro,,402,262,968,https://twitter.com/ingrodolfohdez/status/1429846789470003200
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-22T16:59:59.000Z,"¡MIL GRACIAS MUCHACHOS!  #IngRodolfo

 
@ligajuventudes",,56,52,282,https://twitter.com/ingrodolfohdez/status/1429488533111181312
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-22T16:46:06.000Z,"Mil gracias #SantanderDeMisAmores Citar Tweet
LIGA de Gobernantes Anticorrupción
@LigaGobernantes
 · 22 ago.
¡#BARBOSA FIRMA POR EL INGENIERO Y POR LA LIGA!  #IngRodolfo",,14,13,129,https://twitter.com/ingrodolfohdez/status/1429485039495094282
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-22T16:45:43.000Z,"Mil gracias #Barranquilla Citar Tweet
LIGA de Gobernantes Anticorrupción
@LigaGobernantes
 · 22 ago.
¡#BARRANQUILLA FIRMA POR EL INGENIERO Y POR LA LIGA!  #IngRodolfo",,12,15,107,https://twitter.com/ingrodolfohdez/status/1429484940778000392
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-20T21:12:22.000Z,"Citar Tweet
LIGA de Gobernantes Anticorrupción
@LigaGobernantes
 · 20 ago.
#Barranquilla firma por el Ingeniero  ¡acompańenos! #IngRodolfo",,17,37,204,https://twitter.com/ingrodolfohdez/status/1428827271809454081
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-17T17:28:10.000Z,"Hoy en el #Diadelingeniero quiero enviarle un saludo muy especial a todos mis colegas Ingenieros les deseo muchas ilusiones, muchos sueños, muchos éxitos y un abrazo para todos.  #IngRodolfo",,38,77,583,https://twitter.com/ingrodolfohdez/status/1427683687869603847
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-17T15:56:38.000Z,"""Alcalde Cárdenas es un bruto"": Rodolfo Hernández ante crisis en El Carrasco https://play.wradio.com.co/audio/4158888/ vía 
@WRadioColombia""Alcalde Cárdenas es un bruto"": Rodolfo Hernández ante crisis en El Carrasco | La W Radio | Audio |...
En W Radio, el exalcalde hizo duras críticas a la crisis sanitaria que atraviesa Bucaramanga y retomó su propuesta de convertir la basura en combustible.
play.wradio.com.co",,15,19,51,https://twitter.com/ingrodolfohdez/status/1427660649916686338
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-17T14:35:23.000Z,"#AlAire con 
@WRadioColombia
  “Frente a lo de Hitler pido mil disculpas, cualquiera tiene un lapsus y me equivoqué. La frase no era de él, era de Einstein. Pido mil disculpas a la comunidad judía y a todo el pueblo Colombiano”.",,731,455,"1,6 mil",https://twitter.com/ingrodolfohdez/status/1427640203422978064
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-17T14:02:13.000Z,"#AlAire Citar Tweet
W Radio Colombia
@WRadioColombia
 · 17 ago.
#AlAireEnLaW | Rodolfo Hernández (@ingrodolfohdez) habla sobre la situación de las basuras en Bucaramanga https://bit.ly/30Rt15w
Mostrar este hilo",,5,10,40,https://twitter.com/ingrodolfohdez/status/1427631855575179267
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-17T14:01:46.000Z,"#LaVerdadEs que a Colombia los politiqueros se la están robando a dos manos y si no paramos esa robadera ¡esto no lo salva nadie!

#IngRodolfo #FelizMartesATodos",,22,58,229,https://twitter.com/ingrodolfohdez/status/1427631743914364933
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-15T13:51:10.000Z,"La 
@LigaGobernantes
 está en el podio. ¡Tenemos que seguir trabajando! #IngRodolfo",,106,129,587,https://twitter.com/ingrodolfohdez/status/1426904299997732868
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-13T17:02:09.000Z,"El hogar del árbol nacional de Colombia #ElValleDelCocora  invito a todos los Quindianos y turistas a cuidar este maravilloso tesoro nacional. 
-#IngRodolfo",,22,33,291,https://twitter.com/ingrodolfohdez/status/1426227588008235011
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-13T13:38:14.000Z,#NuestraJusticiaEs como amarrar un gato con chorizos: a mí me investiga un fiscal investigado por corrupción. ¡Háganme el favor! #RodolfoHernandez #Invamer,,30,103,430,https://twitter.com/ingrodolfohdez/status/1426176269939585030
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-13T13:26:25.000Z,"¡Yo no me comí ese cuento de que no me ponían en encuestas! Siempre me pusieron pero nunca me nombraban Vicky 

#RodolfoHernandez #Viernes13 #InvamerCitar Tweet
Vicky Dávila
@VickyDavilaH
 · 13 ago.
Y Rodolfo Hernández ya va de tercero, según Invamer….",,29,45,268,https://twitter.com/ingrodolfohdez/status/1426173297125908486
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-13T13:23:25.000Z,"¡VAMOS A DAR SORPRESITAS! #RODOLFOHERNANDEZRodolfo Hernández, sorpresa en encuesta Invamer: el exalcalde se ubica tercero en intención de voto
Gustavo Petro lidera la encuesta, pese a registrar una caída en comparación con abril de 2021.
bluradio.com",,116,160,791,https://twitter.com/ingrodolfohdez/status/1426172542084124674
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-12T16:41:04.000Z,¡#QUINDIANOS estoy en #Armenia acompáñenme con su firma! #IngRodolfo,,9,39,226,https://twitter.com/ingrodolfohdez/status/1425859894310211592
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T20:11:00.000Z,Mil gracias por el apoyo a los fundadores de la calle del graffiti ¡comprometen mi gratitud!  #IngRodolfo,,3,21,158,https://twitter.com/ingrodolfohdez/status/1425550338841616385
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T20:09:30.000Z,"#Antioqueños felicitaciones por la cultura y el estado impecable que tienen con el 
@metrodemedellin
  #IngRodolfo",,17,43,324,https://twitter.com/ingrodolfohdez/status/1425549960213303306
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T14:22:33.000Z,"En conversación con #CentralMayoristaAntioquia “El problema de #Colombia , es que el ciudadano ve al estado como un atracador” - #IngRodolfo",,16,35,188,https://twitter.com/ingrodolfohdez/status/1425462645642104838
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T13:11:59.000Z,"En respuesta a 
@cavalercromaticJuan feliz día! 109 con Calle 38a San Javier",,,,1,https://twitter.com/ingrodolfohdez/status/1425444889945419783
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T13:09:56.000Z,"En respuesta a 
@sebasmunera94Sebastián estaré hoy miércoles todo el día ¡saludos!",,1,,1,https://twitter.com/ingrodolfohdez/status/1425444373626605574
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T12:00:40.000Z,"#MEDELLÍN 
A todos los que me quieran acompañar con su firma los espero en: 

- Plaza Mayorista 7:30 A.M.
- Hotel San Fernando Plaza 9:00 A.M.
- Barrio San Javier 2:00 P.M.",,38,69,258,https://twitter.com/ingrodolfohdez/status/1425426942082355202
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-09T00:00:56.000Z,"Gracias por tanto apoyo Citar Tweet
LIGA de Gobernantes Anticorrupción
@LigaGobernantes
 · 8 ago.
¡Mil y mil gracias #Girón por firmar por El Ingeniero! #LIGAdeGobernantesAnticorrupcion ",,6,22,153,https://twitter.com/ingrodolfohdez/status/1424521036381491200
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-08T00:56:11.000Z,¡#CAMIONEROS: TRABAJAN COMO MULAS Y GANAN MENOS QUE CHOFER DEL PALACIO DE NARIÑO! Este lunes 9 de agosto a las 8:00 pm estaré dando mi Contrato Social con todos los camioneros de #Colombia,,19,51,307,https://twitter.com/ingrodolfohdez/status/1424172553078255616
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-04T04:09:24.000Z,"EL FÚTBOL DEBE SER MULTITUDINARIO, EXPRESIVO Y ALEGRE ¡PERO NO VIOLENTO!
#IngRodolfo #Campín #Dimayor #Hinchas",,13,35,255,https://twitter.com/ingrodolfohdez/status/1422771627448754182
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-28T13:33:11.000Z,"¡Lo advertí desde hace un año! Esta familia de bandidos se han hecho elegir con plata robada y han traicionado a los electores, espero que la justicia actúe pronto con 
@MAguilarHurtado
 por que con 
@RICHARDAGUILARV
 se demoraron 7 años y medio en hacer una suma.Citar Tweet
Ing Rodolfo Hernandez !
@ingrodolfohdez
 · 14 abr. 2020
“YO DIGO QUE ANTES QUE TERMINE LA PANDEMIA TIENE QUE ESTAR PRESO RICHARD AGUILAR“

VER: https://youtu.be/Wrn-BWGsOpc ",,34,100,331,https://twitter.com/ingrodolfohdez/status/1420376792368656396
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-28T00:12:01.000Z,"¡LOS POLITIQUEROS HACEN CONTRATOS CON LOS PODEROSOS! YO LOS VOY A HACER CON LA GENTE. #IngRodolfo

Consulte aquí su punto de recolección de firmas más cercano  https://bit.ly/Linea_Rodolfista…",,10,32,151,https://twitter.com/ingrodolfohdez/status/1420175171986542595
