nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Ing Rodolfo Hernandez !,Ing Rodolfo Hernandez !,,,,,,,
Jairo Tovio España,Jairo Tovio España,2021-02-07T16:29:55.000Z,Comience con su hijo...,,1,8,14,https://twitter.com/EspanaTovio/status/1358452946422407173
Eduardo,Eduardo,2021-02-07T16:36:21.000Z,¿Cuanto le costaría este publireportaje a Hernández?,,1,2,5,https://twitter.com/Eduardo00125219/status/1358454564060618752
Daniel Rincón,Daniel Rincón,2021-02-07T16:33:08.000Z,"Difícil de conseguirlo ? Si.
Lo van a querer matar por hacer el bien ? Si.
Pero es el que necesita el país.",,,,1,https://twitter.com/danielf0293/status/1358453752970285057
AJ,AJ,2021-02-07T16:34:07.000Z,Pero no es capaz de solucionarnos el problema que dejó su empresa con las casas del conjunto Castilla Real 1 en Giron.,,1,,5,https://twitter.com/Aljoma16/status/1358454001835139086
Khalil Barreto,Khalil Barreto,2021-02-07T16:41:52.000Z,Me parece un buen candidato pero acampañare a petro en las elecciones presidenciales.,,,,6,https://twitter.com/kbarreto30/status/1358455952110936065
PEDRO MADARIAGA SOSA,PEDRO MADARIAGA SOSA,2021-02-07T16:45:37.000Z,"Otro Refrito para continuar con su cortina de humo la MALDITA CORRUPCIÓN.
Otro payaso que cree que todos los orgullosos y patrióticos colombianos de bien somos unos IGNORANTES.",,,3,4,https://twitter.com/PedroMADARIAG12/status/1358456894801780739
Alianza Progresista,Alianza Progresista,2021-02-07T16:45:48.000Z,"Esperamos que pueda concertar una consulta con los progresistas y lograr una unidad sin vetos, que sea capaz de ganar la Presidencia de la República. 

En el #progresismo no excluimos y seguiremos llamando a la unidad.",,2,4,38,https://twitter.com/AProgresista_/status/1358456940884619270
Juan Manuel M.,Juan Manuel M.,2021-02-07T20:39:33.000Z,"Una cosa es unidad bajo principios y otra es unidad porque si. Ese señor no representa en nada un ideario ""progresista"", revisense",,,,2,https://twitter.com/JuanU98/status/1358515765541015557
Jose Rincon,Jose Rincon,2021-02-07T16:48:20.000Z,Con toda ING soy de Cúcuta pero vivo en el Meta y mis mayores deseos es verlo en la presidencia ya estamos mamados de tanta LADRONERA así que cuente con mi voto y desde acá trabajaré para su campaña para que más personas lo conozcan ,,1,,,https://twitter.com/Cheojunior82/status/1358457578108448768
Antagonista de la corrupción,Antagonista de la corrupción,2021-02-07T17:40:13.000Z,"No se deje tramar, mire el escandalo del hijo.",,1,,,https://twitter.com/CarrArmando/status/1358470637568880646
BESI MARIA,BESI MARIA,2021-02-07T16:29:49.000Z,,,,,,https://twitter.com/Marialearrieta_/status/1358452920174444545
Andres Felipe,Andres Felipe,2021-02-07T16:33:01.000Z,,,,,,https://twitter.com/AndresFelipeG92/status/1358453723551440899
Diego Guerrero,Diego Guerrero,2021-02-07T17:34:05.000Z,"Si mi hijo que es un hpta adulto es un ladron, debo ir a la carcel por el? Awebado",,,,,https://twitter.com/guerrero__diego/status/1358469092747968519
AMARILLISMO POLÍTICO,AMARILLISMO POLÍTICO,2021-02-07T16:44:11.000Z,Quiere Usted decir que en compañía de su hijo y su familia NO TIENEN CONFLICTOS DE INTERESES?????????,,,,,https://twitter.com/PERIODISMOAMARI/status/1358456536872472576
Carlos A. Rondón B.,Carlos A. Rondón B.,2021-02-07T16:45:31.000Z,"Yo hasta te creo, pero ellos son más y no te dejan llegar, no ve qué la oposición por des unión nunca han llegado.",,,,,https://twitter.com/rondonbaquero/status/1358456869468127233
Carlos,Carlos,2021-02-07T16:48:36.000Z,"Solo espero que sí no llega a segunda vuelta sea coherente con su discurso, elija una convergencia que esté acordé a las necesidades del país 

Que si admiración por el ex presidente uribe lo lo convierta en uno más de sus fichas 

Buen augurio, lo acompañaré con mi voto",,,,1,https://twitter.com/wcarlos89/status/1358457647251472384
RAMBO COLOMBIANO,RAMBO COLOMBIANO,2021-02-07T16:48:42.000Z,"Ya estamos mamados de escuchar ese lema de acabar con la ladronera,este tema de la corrupción hace años los polítiqueros populistas y corruptos dicen siempre lo mismo en discursos baratos y siguen siempre en lo mismo ROBANDO lo que le pertenece al pueblo colombiano.",,,2,10,https://twitter.com/barranca2021/status/1358457669921693703
Andres Ricardo,Andres Ricardo,2021-02-07T16:48:44.000Z,,,,,,https://twitter.com/inge_ricardo/status/1358457681472872450
®Sargento sinovac(6402) ∆,®Sargento sinovac(6402) ∆,2021-02-07T16:49:15.000Z,Votaría por usted si se llega a un acuerdo programático con los demás candidatos alternativos,,1,,10,https://twitter.com/OctavioTabogo/status/1358457808803536898
inquisidor,inquisidor,2021-02-07T16:50:19.000Z,"Si su presidencia va a ser con esas porquerías de concejales y diputados q nos metió en Santander, mejor apague y vámonos",,,1,9,https://twitter.com/Inquisidor0749/status/1358458076563726341
doram,doram,2021-02-07T16:51:42.000Z,"@ingrodolfohdez
 es decir empieza por su hijo!!!!",,,,,https://twitter.com/Balcazardora/status/1358458426083409924
ingeniero,ingeniero,2021-02-07T17:03:06.000Z,Jajajaja el chiste se cuenta solo. Cuéntenos los torcidos del ing Rodrigo. D Figueroa en desarrollo. De sus hijos en las licitaciones. De Manolo en el encargo de sus mocitas en los viajes a la costa. Y lo más delicado las más de 200 investigaciones entre disciplinarios y penales,,5,11,37,https://twitter.com/losungenierod/status/1358461293674528769
Kelly Mport,Kelly Mport,2021-02-07T17:35:17.000Z,"Todo político tiene rabo de paja!,  

El juego votar por el que MENOS se haya acercado al fuego.

Votar por HECHOS  no por PROMESAS.

#VotaHechosNoPromesas",,1,,6,https://twitter.com/e_dithrodriguez/status/1358469394075168768
J. Andres Duran R.,J. Andres Duran R.,2021-02-07T17:08:20.000Z,"Apoyo al ingeniero 
@ingrodolfohdez",,,,,https://twitter.com/monokeke15/status/1358462614184071196
Juan,Juan,2021-02-07T17:09:30.000Z,"Me gusta, a esa edad y con lo que ha construido, no creería que llegue a robar",,6,,11,https://twitter.com/JuanTortugas/status/1358462906912890881
