nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets
Gustavo Petro,@petrogustavo,2020-12-30T18:38:56.000Z,"Si quieres una sociedad cero aborto, el camino no es prohibir, es educar.",,769,4K,19.5K,https://twitter.com/petrogustavo/status/1344352287779680257
Gustavo Petro,@petrogustavo,2020-12-29T20:32:43.000Z,"Europa.a diferencia de Latinoamérica, negoció unitariamente con las farmacéuticas la compra de vacunas en una cantidad superior, en más el 10%, a la totalidad de su población

Por eso parte de sus vacunas compradas pueden ser donadas.",,100,605,2.6K,https://twitter.com/petrogustavo/status/1344018534301659142
Gustavo Petro,@petrogustavo,2020-12-29T20:32:43.000Z,"Como dirigente de la oposición en Colombia he propuesto al gobierno español, si puede transferir soberanamente parte de sus excedentes en vacunas contra el Covid, que transfiera al gobierno colombiano vacunas independientemente de las distancias políticas.",,954,1.9K,7.2K,https://twitter.com/petrogustavo/status/1344018531076218881
Gustavo Petro,@petrogustavo,2020-12-28T13:05:44.000Z,"Según la Cepal, Perú, Panamá y Bolivia, seran las economías latinoamericanas que más crecerán en 2021

Las economías que quedaron sujetas al petróleo y el carbón  no tendrán mayor reacción

Colombia debe virar urgentemente hacia su agricultura e industriaCuáles son los 3 países de América Latina cuyas economías experimentarán un mayor ""efecto rebote""...
Así como 2020 fue testigo de la mayor crisis económica de América Latina en las últimas décadas, el próximo año llegará con inéditos despegues económicos, siempre que la pandemia se mantenga bajo...
bbc.com",,118,767,2K,https://twitter.com/petrogustavo/status/1343543656331042817
Gustavo Petro,@petrogustavo,2020-12-28T12:24:28.000Z,"Santiago Valencia votó, con su bancada, en contra de quitar los gastos de representación de los congresistas que decidieron quedar sesionando en sus casas.

Ahora busca apoyo al referendo que busca acabar con la Justicia para la Paz.

La respuesta debe ser #chaoduqueQuote Tweet
W Radio Colombia
@WRadioColombia
 · Dec 28, 2020
#NoticieroW | El referendo es la forma para que haya disminución en el salario de congresistas: Santiago Valencia (@sanvalgo) https://bit.ly/2KFkAqR",,80,1.1K,2.9K,https://twitter.com/petrogustavo/status/1343533270579994625
Gustavo Petro,@petrogustavo,2020-12-28T12:16:19.000Z,"Al asesinar a la bebe de la excombatiente de las farc, a la excombatiente y a sus familiares, dejaron una razón en el sur de Bolívar: los asesinos son reflejo de una parte de la sociedad que no quiere la paz y esta dispuesta al exterminio.

Ninguna Nación tiene futuro sin paz.",,356,3K,8.7K,https://twitter.com/petrogustavo/status/1343531222614597637
Gustavo Petro,@petrogustavo,2020-12-27T21:40:25.000Z,"Nueva masacre. Un niño y una joven firmante de acuerdo de paz, entre los cinco muertos, en Montecristo, Bolívar.

No quieren que termine el año sin hacer trizas los acuerdos de paz.Quote Tweet
AHERAMIGUA
@AHERAMIGUA
 · Dec 27, 2020
Masacre en la Quebrada Honda, municipio de Montecristo, Bolívar. Ayer, 5 personas de una familia fueron asesinadas por grupo armado desconocido. Entre las víctimas se encontraba excombatiente de Farc, Rosa Mendoza y una menor de edad. @IAP_Colombia @CIDH @PBIColombia @PrensaRural",,67,914,1.2K,https://twitter.com/petrogustavo/status/1343310796210774016
Gustavo Petro,@petrogustavo,2020-12-27T21:22:31.000Z,"¿Por qué el virus logró detener el capitalismo? Un análisis de la crisis económica frente al virus. Ahora lo único que permite la reactivación es una fuerte política pública en la salud y en la economía.Políticas anticapitalistas en tiempos de COVID-19
Cuarenta años de neoliberalismo en toda Norteamérica, Sudamérica y Europa han dejado lo público completamente expuesto y sin preparación para enfrentarse a una crisis de salud pública de esta clase
ctxt.es",,71,445,1K,https://twitter.com/petrogustavo/status/1343306291066904576
Gustavo Petro,@petrogustavo,2020-12-27T20:18:56.000Z,Matemáticas de Uribe. Pide a sus congresistas renunciar al retroactivo  del incremento del salario parlamentario decretado por Duque que suma en total 18 millones anual y no cuenta que su bancada negó la devolución de los gastos de representación que suman 14 millones mensuales,,307,3.3K,9.4K,https://twitter.com/petrogustavo/status/1343290288828272646
Gustavo Petro,@petrogustavo,2020-12-27T20:06:08.000Z,"Manuel Alonso, firmante de la Paz, asesinado en Miranda, Cauca.Quote Tweet
AmorATiempo
@AmorATiempo1
 · Dec 27, 2020
Otra sonrisa, otra voluntad de paz que es asesinada por la rabia de quienes no soportan un país en paz.  Él era Manuel Alonso, firmante del Acuerdo de Paz. Fue asesinado el día de hoy en el municipio de Miranda en el departamento del Cauca. Con él ya son 248. @UEenColombia",,71,821,1.3K,https://twitter.com/petrogustavo/status/1343287066587766785
Gustavo Petro,@petrogustavo,2020-12-27T17:55:53.000Z,"Esta es la realidad hoy en Providencia. Ha matado más gente la reconstrucción que el huracán.Quote Tweet
Ali Waked
@AliWkd
 · Dec 27, 2020
''La verdadera tragedia empieza ahora. Mientras los caciques del gobierno duermen en las mejores carpas y aire acondicionado, nosotros nos seguimos mojando.''

¡Un aplauso para @SusanaCorreaBor! Eres una dura",,69,752,1.3K,https://twitter.com/petrogustavo/status/1343254290396307456
Gustavo Petro,@petrogustavo,2020-12-27T16:42:25.000Z,"Son los congresistas uribistas los que hundieron en comisión primera la propuesta, apoyada por nosotros, de no recibir los gastos de representación, precisamente porque las sesiones eran virtuales.Quote Tweet
La FM
@lafm
 · Dec 26, 2020
Congresistas uribistas, primeros en rechazar su aumento salarial para 2021 https://lafm.com.co/politica/congresistas-uribistas-primeros-en-rechazar-su-aumento-salarial-para-2021…",,148,1.2K,3.5K,https://twitter.com/petrogustavo/status/1343235799979061248
Gustavo Petro,@petrogustavo,2020-12-27T13:23:49.000Z,"En la reforma política aprobada por la comisión primera del senado venía una fórmula para disminuir el salario de los miembros del Congreso.

El Centro Democrático y sus aliados hundieron esa reforma no permitiendo su discusión en plenaria.",,218,2.4K,6.4K,https://twitter.com/petrogustavo/status/1343185819411111938
Gustavo Petro,@petrogustavo,2020-12-26T15:23:28.000Z,"Si 5.3, subieron los salarios del Congreso,al. menos, eso mismo, debe subir el salario mínimo.",,1.1K,4.3K,19.1K,https://twitter.com/petrogustavo/status/1342853541816373248
Gustavo Petro,@petrogustavo,2020-12-26T13:21:35.000Z,"La manera de engañar bogotanos, hasta conseguir su voto. Se completan seis años de suspensión de la construcción del metro subterráneo.Quote Tweet
Enrique Peñalosa
@EnriquePenalosa
 · Apr 1, 2016
Nuestro metro elevado, como el de Medellín, comenzará operaciones en 2020",,197,1.4K,4.5K,https://twitter.com/petrogustavo/status/1342822872901951493
Gustavo Petro,@petrogustavo,2020-12-26T12:57:06.000Z,"Historia de otro entrampamiento.Quote Tweet
Diana López Zuleta
@dianalzuleta
 · Dec 25, 2020
Apresado policía corrupto que prestó falso testimonio contra los agentes de la DIJIN que destaparon la “Ñeñe-Política”.  https://lanuevaprensa.com.co/component/k2/apresado-policia-corrupto-que-presto-falso-testimonio-contra-los-agentes-de-la-dijin-que-destaparon-la-nene-politica…",,36,805,2K,https://twitter.com/petrogustavo/status/1342816708239699969
Gustavo Petro,@petrogustavo,2020-12-26T12:10:06.000Z,"Si el experto en epidemias en EEUU, Fauci, tiene razón, Colombia necesita 90 millones de dosis, dos por persona, para llegar al nivel de inmunización y salir de la pandemia.

Conseguir estas 90 millones de vacunas se vuelve la lucha inmediata de toda la sociedadQuote Tweet
Tania Valentina Díaz
@taniapsuv
 · Dec 25, 2020
Se requeriría vacunar a casi 90% de población EEUU para lograr inmunidad de rebaño 

Así lo afirma el doctor Anthony Fauci, el experto en enfermedades infecciosas más destacado de Estados Unidos.

https://reut.rs/3pmSjnH",,108,539,1.6K,https://twitter.com/petrogustavo/status/1342804880201801729
Gustavo Petro,@petrogustavo,2020-12-24T18:08:40.000Z,"Les deseamos, con toda mi familia, una feliz navidad y un 2021 con mucha salud y amor.",,1.9K,2.4K,29.1K,https://twitter.com/petrogustavo/status/1342170341599309826
Gustavo Petro,@petrogustavo,2020-12-24T17:56:20.000Z,"Una feliz navidad a toda la fuerza de la salud de Colombia.

En un gobierno progresista habrá estabilidad laboral. Toda IPS, contratará a termino indefinido, el personal de salud que cumpla funciones misionales. Primero la salud que el negocio",,317,1.4K,6.2K,https://twitter.com/petrogustavo/status/1342167237797572608
Gustavo Petro,@petrogustavo,2020-12-24T17:53:09.000Z,"Coincido con el arzobispo de Bogotá: Colombia necesita una reforma rural integral que modernice el uso de la tierra, genere democracia, producción y paz.Reforma rural integral, no aspersión aérea: El mensaje de la iglesia al Gobierno – Contagio Radio
Monseñor Luis José Rueda, arzobispo de Bogotá y representante de la iglesia católica resaltó la importancia de promover el campo en Colombia
contagioradio.com",,55,713,1.9K,https://twitter.com/petrogustavo/status/1342166435821481986
Gustavo Petro,@petrogustavo,2020-12-24T16:31:15.000Z,"La primera vacunada en America Latina, es una enfermera. Ha sucedido en México.

Bien  por México, por la mujer, por la fuerza blanca de la salud que ha sabido batallar contra la adversidad.

Ojalá muestre el camino de la vida a todos nuestros pueblos.Quote Tweet
Gael García Bernal
@GaelGarciaB
 · Dec 24, 2020
Me emocioné. Una puesta en escena del ritual de la vacunación, me emociona. Sí.
Y como el buen cine y teatro, lo que no aparece en escena es igual de importante; Cada vacuna va en nombre de aquellos que han luchado por esto. Y sobretodo, aquellos que han perdido la batalla. twitter.com/Claudiashein/s…
Show this thread",,50,282,1.1K,https://twitter.com/petrogustavo/status/1342145826827751424
Gustavo Petro,@petrogustavo,2020-12-24T15:54:57.000Z,"No se si la acción de Duque contra los diplomaticos rusos, buscando alistarse con Biden ante un presunto conflicto Rusia/EEUU, no vaya a cerrar las puertas de posibles compras de la vacuna Sputnik V.

Esta vacuna no necesita la refrigeración de Pfizer y seria más adaptable.Quote Tweet
Sputnik V
@sputnikvaccine
 · Dec 24, 2020
Watch this exclusive video of the first batch of #SputnikV vaccine departing for Argentina.",,245,633,2K,https://twitter.com/petrogustavo/status/1342136689448398850
Gustavo Petro,@petrogustavo,2020-12-24T15:48:43.000Z,"La ministra Carmen Helena Vásquez fue capaz de no autorizar la demolición del Hospital San Juan de Dios de Bogotá. La felicito por ello.

Veremos que hará Felipe Buitrago.Quote Tweet
El País Cali #ElPaisPaLante
@elpaiscali
 · Dec 24, 2020
Carmen Helena Vásquez será reemplazada por Felipe Buitrago en el Ministerio de Cultura https://elpais.com.co/politica/carmen-helena-vasquez-sera-reemplazada-por-felipe-buitrago-en-el-ministerio-de-cultura.html…",,25,338,1K,https://twitter.com/petrogustavo/status/1342135122410299392
Gustavo Petro,@petrogustavo,2020-12-24T15:46:30.000Z,"Llegaron primeras vacunas Pfizer a Chile, muy bien por ellos. Con México, Argentina y Costa Rica, inician la vacunación en América Latina.Quote Tweet
DW Español
@dw_espanol
 · Dec 24, 2020
Llega la vacuna a Chile

Las primeras 10.000 dosis de la vacuna contra el coronavirus de Pfizer/BioNTech llegaron este jueves a Chile, que junto a México y Costa Rica iniciará en esta misma jornada la vacunación del personal sanitario. /ps",,68,353,1.4K,https://twitter.com/petrogustavo/status/1342134564777549824
Gustavo Petro,@petrogustavo,2020-12-24T14:18:26.000Z,"Va un millón de vacunados en EEUU. Hoy se puso la primera vacuna Pfizer en México y acaba de llegar 300.000 vacunas SputnikV a Argentina.

El poder se impone a la humanidad 

Si la fórmula de la vacuna se repartiese a todos los países ya habrían decenas de millones de vacunados",,631,1.1K,4.6K,https://twitter.com/petrogustavo/status/1342112402125500417
Gustavo Petro,@petrogustavo,2020-12-23T18:06:42.000Z,Muy bueno. Expresa la gran diferencia entre Colombia Humana y el uribismo.,,1.1K,2.9K,12.7K,https://twitter.com/petrogustavo/status/1341807458092761088
Gustavo Petro,@petrogustavo,2020-12-23T18:05:35.000Z,"La universalización de la educación superior para toda la Policía, la eliminación de barreras de ascenso para cualquier agente de policía. La desmilitarización de la policía y su profesionalización como cuerpo civil, son objetivos de nuestro programa para la reforma.",,31,269,951,https://twitter.com/petrogustavo/status/1341807179435823105
