nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Gustavo Petro,Gustavo Petro,,,,,,,
Gustavo Petro,Gustavo Petro,2021-05-06T03:47:34.000Z,"Les propongo hacerla si decretan la conmoción interior. Les propongo que todo el sur, el occidente, el centro oriente, el centro y el norte salgan de sus casas a marchar.

Les propongo hacer esa fiesta en honor de tanto joven que sale en Colombia a luchar por otro futuro mejor.",,244,1.8K,9.7K,https://twitter.com/petrogustavo/status/1390151226034212864
Gustavo Petro,Gustavo Petro,2021-05-06T03:47:34.000Z,"Que no sea una marcha mia, sino de la gente, yo iré allí, como uno más. No vamos a hablar de votos, ni elecciones , solo a pedir como una Bogotá Humana Democracia y Paz para Colombia.",,496,2.8K,15.6K,https://twitter.com/petrogustavo/status/1390151227049136129
Gustavo Petro,Gustavo Petro,2021-05-06T03:47:35.000Z,"Bogotá una vez hizo una marcha del silencio cuando más se necesitaba, ¿Por qué no hacemos una marcha de un millón de personas que clamen por la paz y la justicia? Hoy tambien es necesario

Invito a la iglesia católica a participar, al comité de paro, a toda la juventud, a todos",,443,2.9K,16.2K,https://twitter.com/petrogustavo/status/1390151228064243712
Esteban Gamarra,Esteban Gamarra,2021-05-06T03:47:55.000Z,"Replying to 
@petrogustavo",,,,7,https://twitter.com/Esteban78057736/status/1390151314391420929
Joshtein,Joshtein,2021-05-06T03:48:17.000Z,"Adopteme, señorito miel ",,17,9,350,https://twitter.com/Joshtein4/status/1390151405944676354
Juan B. Ruiz,Juan B. Ruiz,2021-05-06T18:12:29.000Z,"Será para que lo deje morir como a la perrita Bacatá que Petro adoptó, posó en unas cuantas fotos con ella con fines de propaganda, y luego la tiró por ahí y la mataron unos perros callejeros.",,2,,1,https://twitter.com/Juan_B_Ruiz/status/1390368888282550272
ClauSegura,ClauSegura,2021-05-06T03:48:20.000Z,"Una marcha en silencio, así seria ideal, solo camisetas blancas y en completo silencio",,5,12,216,https://twitter.com/Lilith7705/status/1390151419806683139
Santiago Núñez. Ⓐ,Santiago Núñez. Ⓐ,2021-05-06T03:52:26.000Z,,,6,14,137,https://twitter.com/santiagonuezare/status/1390152451173621762
,,2021-05-06T03:47:34.000Z,,,,,,https://twitter.com/petrogustavo/status/1390151227049136129
,,2021-05-06T03:47:35.000Z,"Bogotá una vez hizo una marcha del silencio cuando más se necesitaba, ¿Por qué no hacemos una marcha de un millón de personas que clamen por la paz y la justicia? Hoy tambien es necesario

Invito a la iglesia católica a participar, al comité de paro, a toda la juventud, a todos",,443,2.9K,16.2K,https://twitter.com/petrogustavo/status/1390151228064243712
Daniel Buitrago,Daniel Buitrago,2021-05-06T03:48:23.000Z,"Invite a 
@Residente
 eso de seguro viene",,13,26,431,https://twitter.com/danielbuitrag0/status/1390151431295062016
Andre,Andre,2021-05-06T03:52:06.000Z,"Buena idea 
@Residente",,,5,63,https://twitter.com/AndreSalazar5/status/1390152365500731397
Mauricio Rodríguez Amaya,Mauricio Rodríguez Amaya,2021-05-06T03:48:26.000Z,"Solo diga donde, que lo que nos queda es Dignidad, dignidad de verdad.",,2,1,31,https://twitter.com/ApuntadeLengua/status/1390151444888707073
Cabeza de Kiwi,Cabeza de Kiwi,2021-05-06T03:48:30.000Z,Pero espero nos acompañe señor Petro! Es facil decir pero queremos su compromiso al salir a Marchar.,,2,,48,https://twitter.com/Cabeza_de_kiwi/status/1390151461393285126
Elsa Gamez,Elsa Gamez,2021-05-06T09:07:26.000Z,"Escuche lo que le pide la gente a Petro, que no salga. Podemos marchar sin él,  para eso no lo necesitamos ahí.",,1,,2,https://twitter.com/ElsaGamez16/status/1390231724244807684
Zeus,Zeus,2021-05-06T03:48:57.000Z,TIENE QUE SER MUY TEMPRANO POR QUE EN LA NOCHE SALEN LOS VERDEOLIVA A ASESINAR,,,3,57,https://twitter.com/Zzeeuuss2021/status/1390151573980934150
Jose Guio,Jose Guio,2021-05-06T03:49:10.000Z,"Hasta la muerte 
@petrogustavo
 hasta la muerte te acompañamos
Te necesitamos más que nunca",,3,2,36,https://twitter.com/JoseEGuio/status/1390151629895311364
ElCoyote,ElCoyote,2021-05-06T06:22:32.000Z,Una marcha COVID19 tiene razón! Hasta la muerte!,,2,1,1,https://twitter.com/ElcoyoteLpez/status/1390190223909441536
Daniela,Daniela,2021-05-06T03:49:15.000Z,Señor lo amooel tiempo le esta dando la razón.,,1,2,61,https://twitter.com/Daniela20446633/status/1390151650740948994
CarAndRinGue,CarAndRinGue,2021-05-06T03:49:30.000Z,Totalmente... es hora que la cultura y la política de la vida humana muestre que somos millones...,,,6,66,https://twitter.com/CarAndRinGue2/status/1390151713097756675
Diego Fernando Bravo,Diego Fernando Bravo,2021-05-06T03:50:01.000Z,"Esta marcha si la está proponiendo Petro,  y ojo 
@VickyDavilaH
 , está diciendo que en completa paz.",,1,1,31,https://twitter.com/Diego_Bravo25/status/1390151841791479809
Ludwig Hetfield,Ludwig Hetfield,2021-05-06T04:00:09.000Z,GIF,,,1,3,https://twitter.com/LudwigHetfield/status/1390154390326157313
xavier carrillo,xavier carrillo,2021-05-06T03:50:30.000Z,No salga senador.... no se ponga de papaya.,,1,1,32,https://twitter.com/xaviernes/status/1390151963292151814
Laura Jiménez,Laura Jiménez,2021-05-06T03:50:32.000Z,El arte ,,1,17,66,https://twitter.com/amarillalatina/status/1390151973593309195
pedro urquijo,pedro urquijo,2021-05-06T03:51:47.000Z,Primera vez que estoy de acuerdo con usted pero no a la plaza de Bolívar la plaza de Bolívar es donde se citan a pelear porque no al norte 170 con 7 se pone una tarima y se invita artistas y que sea la marcha de la paz cero politiquería,,3,10,175,https://twitter.com/UrquijoPedro/status/1390152287482523648
Carlos Tao.,Carlos Tao.,2021-05-06T03:51:52.000Z,Hágale papá ,,1,2,13,https://twitter.com/CarlosE91647320/status/1390152305417273344
lucecita,lucecita,2021-05-06T03:52:17.000Z,"No salga Por favor! lo necesitamos vivo, esto es una masacre y si saben que está en la calle es un blanco fácil para los paramilitares.",,6,12,206,https://twitter.com/lucecit31257727/status/1390152413877874690
Maria F Sandoval,Maria F Sandoval,2021-05-06T03:53:37.000Z,Mmmm Ya somos como Venezuela .....,,4,,20,https://twitter.com/MariaFSandoval3/status/1390152749589880834
JOHANA,JOHANA,2021-05-06T03:52:35.000Z,"Si el ESMAD vá, yo no voy.",,1,2,23,https://twitter.com/data1816/status/1390152489345949696
Angie,Angie,2021-05-06T03:53:15.000Z,"Prepárate porque ahora te van a llamar oportunista, incendiario, mezquino. Acá te culpan de todo, por acción o por omisión. Malo que calles, malo que hables... Cuenta conmigo ",,2,24,400,https://twitter.com/Angiegars/status/1390152656442822662
WISTON,WISTON,2021-05-06T03:53:38.000Z,"Replying to 
@petrogustavo",,3,7,16,https://twitter.com/Freddymor817/status/1390152751938740226
Hamburguesas,Hamburguesas,2021-05-06T03:53:50.000Z,"Mk, menos de 5 minutos, todos los like que genera un trino de Petro, eso es lo que emberraca al Paraco, al Tibio y a la ex- Gritona.",,11,11,113,https://twitter.com/HamburguesaMala/status/1390152802366787592
Porky,Porky,2021-05-06T10:51:26.000Z,"Yina Calderón también tiene muchos likes. 

¿La van a volver ministra?",,3,,15,https://twitter.com/iLordPorky/status/1390257892725563393
Viktor Contreras,Viktor Contreras,2021-05-06T03:54:54.000Z,"Allá estaré luchando y viviendo esa fiesta por qué colombia nos tiene que escuchar. Gracias Petro 
#SOSPereira #SOSColombiaDDHH",,3,19,116,https://twitter.com/viktorclop/status/1390153068877078530
Bernaluchi,Bernaluchi,2021-05-06T03:55:32.000Z,"Buena idea pero senador no se exponga los buitres están esperando eso ! Que usted salga para  inflintar y luego culpable,a usted lo necesitamos vivo y libre",,1,2,25,https://twitter.com/BernalUcc/status/1390153230533988352
Andre London,Andre London,2021-05-06T03:56:42.000Z,Desde Argentina nos acompañamos !!!,,3,6,17,https://twitter.com/Andrulondon/status/1390153522688233476
Remy Galán Navarro,Remy Galán Navarro,2021-05-06T04:00:10.000Z,Ud me representa amigo ,,1,,30,https://twitter.com/remygalan/status/1390154396475043842
Jess Microbichota,Jess Microbichota,2021-05-06T03:56:58.000Z,"Petro, yo estoy con ud. 
Tiene mi apoyo totalmente, siempre lo ha tenido y mi voto ha sido y será para ud. Ud será nuestro próximo presidente!!",,23,9,329,https://twitter.com/jessbichos/status/1390153588740136961
FaridconD,FaridconD,2021-05-06T03:57:46.000Z,"Claro que sí, acá en Cali replicaremos también.",,,3,11,https://twitter.com/DFaridcon/status/1390153791702540288
jaco,jaco,2021-05-06T03:58:14.000Z,"No te quités votos, sos muy inteligente para saber que el pueblo no quiere una marcha dirigida por un político. No te hagás ese daño . ",,3,1,67,https://twitter.com/Jaco13W/status/1390153911487668229
Alejo Torres,Alejo Torres,2021-05-06T04:00:19.000Z,"""Que no sea una marcha mia, sino de la gente, yo iré allí, como uno más. No vamos a hablar de votos, ni elecciones , solo a pedir como una Bogotá Humana Democracia y Paz para Colombia."". Es un hilo. Lea todos los tuits.",,4,,64,https://twitter.com/AlejoTorres27/status/1390154434815086593
Cristián Sanchez,Cristián Sanchez,2021-05-06T03:59:12.000Z,"@petrogustavo
 podría llamarse la marcha de la Paz y la Reconciliación. Con banderas blancas, camisetas blancas.",,3,13,111,https://twitter.com/SanchezCaicedoC/status/1390154152043585545
William Arango A,William Arango A,2021-05-06T15:42:25.000Z,"Petro por su vida no salga a marchar 
@AlvaroUribeVel
 te quiere muerto.",,1,,,https://twitter.com/arango_william/status/1390331122320650243
Progresista2022,Progresista2022,2021-05-06T03:59:41.000Z,Voy senador PETRO,,1,6,28,https://twitter.com/progresista2022/status/1390154273539887105
Carlos Cortázar ** TFT HIDEKI **,Carlos Cortázar ** TFT HIDEKI **,2021-05-06T04:00:11.000Z,"Las marchas están desde hace una semana, como un poco tarde...",,2,,1,https://twitter.com/TFTHideki/status/1390154399687888896
IndignadaYLejosDeCasa,IndignadaYLejosDeCasa,2021-05-06T06:54:39.000Z,Pero ahora sería idea de él entonces es mejor (?),,2,,,https://twitter.com/Diana_Gubler/status/1390198304181350401
Deiby LI,Deiby LI,2021-05-06T04:02:07.000Z,Lastima que no viva en Bogotá pero total apoyo ! Pensar que hay personas que le dicen incendiario por hablar de democracia y paz. Como si salir a protestar pidiendo democracia fuera un acto de terrorismo.,,9,17,225,https://twitter.com/makotosoda94/status/1390154885451161600
Yona Rincon,Yona Rincon,2021-05-06T04:02:44.000Z,,,,3,22,https://twitter.com/YonaRincon/status/1390155040862650378
Katrina,Katrina,2021-05-06T04:03:19.000Z,"Listo! Yo lo acompaño 
@petrogustavo
 
Póngale fecha",,1,7,77,https://twitter.com/MilesHMora2/status/1390155188208640001
Yolanda Puentes,Yolanda Puentes,2021-05-18T00:22:58.000Z,Noooo queremos y necesitamos a Petro vivo,,,,,https://twitter.com/YolandaPuentes8/status/1394448390285578241
César H. Castro Cruz,César H. Castro Cruz,2021-05-06T04:04:16.000Z,"Vamos para esa. 
Eso si comprometernos que a vándalo que veamos lo detenemos y entregamos a Comisiones de Derechos Humanos.",,1,13,74,https://twitter.com/Guambiano01/status/1390155427363627008
CICUTO,CICUTO,2021-05-06T04:05:30.000Z,Hagamos un millón de Retwees de esta convocatoria.,,1,9,24,https://twitter.com/Cicuto7/status/1390155739885416448
Arturo Rodriguez,Arturo Rodriguez,2021-05-06T04:05:44.000Z,Me uno a esa marcha una vez más por la paz y por el fin de la brutalidad policial en Colombia.,,1,6,51,https://twitter.com/arturo2driguez/status/1390155796009390080
@BATCol2021,@BATCol2021,2021-05-06T04:07:16.000Z,Primero paga para que acaben con todo y luego cañando de líder?,,,5,14,https://twitter.com/BATCol2021/status/1390156182397100032
El Barto Chibchombiano,El Barto Chibchombiano,2021-05-06T04:10:45.000Z,Chandateiro se frota las manos...,,1,6,79,https://twitter.com/FilosofoBart/status/1390157060164235264
EDUARDO,EDUARDO,2021-05-06T04:11:16.000Z,Ahí esta el demonio de Petro queriendo pasar como un angelito.,,1,2,15,https://twitter.com/EduardoZR12/status/1390157188941893633
Ana Maria M.,Ana Maria M.,2021-05-06T04:12:14.000Z,"Usando petrodelirios una vez más  a la población civil para ponerlos de carne de cañón e ir en contra de las instituciones?... Ud es un terrorista, jamás tendrá esta patria.",,25,12,75,https://twitter.com/AnaMa197/status/1390157434547806214
carolinaguevara,carolinaguevara,2021-05-06T13:04:50.000Z,"Ana Delirios tu narrativa es vieja y muy tonta. Colombia no es de nadie, porque es pluralista y demócrata. Deja la obsesión por Gustavo, argumenta razonadamente y cambia tu lenguaje.  No dejes ver tu incapacidad de cambio.",,2,1,11,https://twitter.com/caroglarrota/status/1390291464513540097
Liliana C.,Liliana C.,2021-05-06T04:12:24.000Z,"Petro, lo queremos y lo necesitamos vivo, no hay que arriesgarse ",,2,5,72,https://twitter.com/lilicatadiaz/status/1390157475475820546
AnaMa,AnaMa,2021-05-06T04:12:24.000Z,"Después dice que no es usted el que llama sus borregos a marchas, tranquilo ellos obedecen tiene ese cerebro de maní , listos esperando su titiritero.",,20,3,32,https://twitter.com/leon8193/status/1390157475773616128
JJSAW,JJSAW,2021-05-06T06:38:32.000Z,"Con verle esa cara se ve la decadencia del uribismo que al pasar de los días envejecen con su líder decrépito cómo ustedes...sigue así, perdiendo día tras día en tu discurso que solo repite lo que mal aprende...",,1,,6,https://twitter.com/jjsaw1980/status/1390194251238191106
Alby,Alby,2021-05-06T04:12:32.000Z,"De una! Yo voy con mis hijos y algunos amigos. Una marcha como la de hoy en el parque los hippies totalmente pacífica.
 Cuenta con eso, Senador y Principal Líder de la Oposición Gustavo Petro.",,1,3,17,https://twitter.com/Alby33108128/status/1390157507167989761
Madame Simone,Madame Simone,2021-05-06T04:13:40.000Z,"Petro, no se arriesgue, ud será presidente,  no se arriesgue así, lo necesitamos vivo  muerto no nos sirve de nada y si están matando a cualquiera sólo por ir caminando... en fin, tenga cuidado  lo quiero mucho  esos asesinos están dispuestos a todo.",,13,96,640,https://twitter.com/MadameSiimone/status/1390157794574323714
Jorge Salamanca Vilardy,Jorge Salamanca Vilardy,2021-05-06T04:16:37.000Z,"Es cierto
Pero debe hacerlo y junto a toda la oposición",,3,10,61,https://twitter.com/JorgeSa17406507/status/1390158534160101377
MANUEL GONZALEZ,MANUEL GONZALEZ,2021-05-06T04:14:42.000Z,"""Pido la palabra"" Me le mido, siempre que usted se quede en  casa. Usted no les puede dar el papayaso de que lo asesinen, recuerde lo de Cucuta. Muchos esperan eso para despejar el camino.",,3,23,149,https://twitter.com/MAGODELASINTONI/status/1390158055048941569
𝓦𝓲𝓵𝓲𝓼 𝓡𝓾𝓲𝔃 𝓓í𝓪𝔃,𝓦𝓲𝓵𝓲𝓼 𝓡𝓾𝓲𝔃 𝓓í𝓪𝔃,2021-05-06T04:15:21.000Z,"Algunos extranjeros tienen más sentido de pertenencia q muchos  Ej.:
@Residente
 @justinbieber
... Creería q extendiéndole la invitación hasta podrían venir a solidarizarse con nuestro pueblo masacrado por #ÁUV 
@IvanDuque
 @COL_EJERCITO
 @PoliciaColombia
 @Diego_Molano
 @CeDemocratico",,11,31,45,https://twitter.com/wilis_rd/status/1390158219088220163
𝓦𝓲𝓵𝓲𝓼 𝓡𝓾𝓲𝔃 𝓓í𝓪𝔃,𝓦𝓲𝓵𝓲𝓼 𝓡𝓾𝓲𝔃 𝓓í𝓪𝔃,2021-05-06T05:40:09.000Z,,,7,34,69,https://twitter.com/wilis_rd/status/1390179558910013442
MILTON ALBERTO ROJAS,MILTON ALBERTO ROJAS,2021-05-06T04:18:26.000Z,Firme!,,,1,12,https://twitter.com/MILTONALBERTORO/status/1390158992878485505
MANUEL VIVERO,MANUEL VIVERO,2021-05-06T04:19:35.000Z,"Es lo que quiere 
@ClaudiaLopez
 , Colombia sabe que ud sera el próximo Presidente,con la Constitución del 91,se transformara a Colombia,no se exponga ante las hienas y lobos, puede haber francotiradores extranjeros y si sale que sea en vehiculo blindado, buscan conmoción interior.",,2,18,44,https://twitter.com/ManuelViveroB/status/1390159284374327303
Camilo,Camilo,2021-05-06T04:19:37.000Z,"No Petro. No se puede exponer. 
Usted es la esperanza de todo un país y no debe salir a exponerse.
Colombia no puede quedar sin su líder.",,1,16,117,https://twitter.com/EngKronos11/status/1390159289377976320
Tobías Robin,Tobías Robin,2021-05-06T04:21:36.000Z,Eso es lo que quiere uribe para asesinarlo,,,1,16,https://twitter.com/TobiasToxitek/status/1390159790412898311
jorge giraldo,jorge giraldo,2021-05-06T04:19:38.000Z,"Con estás camisetas senador, este es mi emprendimiento acá en Medellín senador",,,1,1,https://twitter.com/jorgegiraldo3/status/1390159296546197504
