nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Sergio Fajardo,Sergio Fajardo,,,,,,,
𝔻𝕚𝕖𝕘𝕠,𝔻𝕚𝕖𝕘𝕠,2020-07-15T01:52:03.000Z,Jajajaja veremos a Pajardo haciendo acuerdos programáticos con el uribismo para el 2022. El candidato del establecimiento corrupto y narcotraficante.,,,2,17,https://twitter.com/OtroDiegoSoy/status/1283217734348820480
Andres Guzmanovich,Andres Guzmanovich,2020-07-15T01:52:09.000Z,"Replying to 
@sergio_fajardo",,,,8,https://twitter.com/manguzvar1980/status/1283217761255251971
Posocriticón,Posocriticón,2020-07-15T01:53:26.000Z,"Totalmente de acuerdo con ud fajardo, por eso #PetroPresidente",,,,51,https://twitter.com/poso_criticon/status/1283218084027826176
Lönnrot,Lönnrot,2020-07-15T01:53:27.000Z,"Replying to 
@sergio_fajardo",,,,18,https://twitter.com/Untalpoladice/status/1283218087119134720
ENRIQUE A. GARCIA ROSALES,ENRIQUE A. GARCIA ROSALES,2020-07-15T01:53:34.000Z,"Mientras en Colombia siga existiendo la amenaza del Socialismo y del narcoterrorismo, será indispensable 
@AlvaroUribeVel
 así sea que tenga 100 años de edad.",,393,91,338,https://twitter.com/egarciarosales/status/1283218115682336775
ENRIQUE A. GARCIA ROSALES,ENRIQUE A. GARCIA ROSALES,2020-07-15T01:54:56.000Z,Y desde cualquier escenario que le toque siempre estará listo para defender y servir a la patria.,,39,1,9,https://twitter.com/egarciarosales/status/1283218459250360320
Emerson C,Emerson C,2020-07-15T01:54:01.000Z,Mira esta belleza huevo tibio!,,,1,17,https://twitter.com/vadoliquore/status/1283218227804475393
,,2020-07-15T01:52:09.000Z,,,,,,https://twitter.com/manguzvar1980/status/1283217761255251971
,,2020-07-15T01:53:26.000Z,,,,,,https://twitter.com/poso_criticon/status/1283218084027826176
Pitbull sin cadena,Pitbull sin cadena,2020-07-15T01:54:33.000Z,Petro Presidente!!!,,40,21,591,https://twitter.com/juanPer96528589/status/1283218364551303173
Puli ॐ,Puli ॐ,2020-07-15T02:13:53.000Z,"EHHH NOOPPP, 
1-No necesitamos más izquieda nefasta en sur América , gracias ya tenemos la cuota, Maduro ya nos tiene podridos.
2- Necesitamos políticos que no sean ni narcos,ni ex paramilitares,ni ex guerilleros, ni corruptos.Renovación positiva política total para latinoamerica",,33,9,66,https://twitter.com/Khrol_PS/status/1283223228236931074
César A. López Z.,César A. López Z.,2020-07-15T01:55:04.000Z,"Replying to 
@sergio_fajardo",,,7,58,https://twitter.com/clopezzuleta/status/1283218493924691969
Móni Mendoza,Móni Mendoza,2020-07-15T01:55:22.000Z,"JAJAJAJA Ahora comediante? no que tipo tan polifacético... tibio, pero polifacético.",,,2,36,https://twitter.com/monimendozav/status/1283218569732526082
#joancoktail® L¶,#joancoktail® L¶,2020-07-15T01:56:03.000Z,Ya .. empezó a hacer campaña  jajaja,,2,,9,https://twitter.com/jc_joan/status/1283218739333390337
MoniMaría,MoniMaría,2020-07-15T01:59:48.000Z,Señor no es momento de estar en campaña! No ve la pandemia?,,,,25,https://twitter.com/MaraBlau_/status/1283219683294969856
Arturo Rodriguez,Arturo Rodriguez,2020-07-15T02:00:02.000Z,"Chao mijo! Usted ya tuvo su oportunidad de trabajar para un cambio en Colombia pero prefirió ir a ver ballenas.
Este no es su momento, es el momento de Petro.",,2,3,65,https://twitter.com/arturo2driguez/status/1283219742648684544
𝑨𝒍𝒆 𝑨𝒄𝒐𝒔𝒕𝒂,𝑨𝒍𝒆 𝑨𝒄𝒐𝒔𝒕𝒂,2020-07-15T02:00:10.000Z,"Chao a los tibios solapados como ud que no asumen una posición para posar de independientes, cuando en realidad están untados de muchos partidos políticos, sepa que al igual que Petro, ud NUNCA será presidente.",,2,9,42,https://twitter.com/Ale_Acosta211/status/1283219774940549122
Nelson Rojas Uribe,Nelson Rojas Uribe,2020-07-15T02:44:48.000Z,GIF,,1,3,8,https://twitter.com/nelrojtecnico/status/1283231008339505152
