nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link
María Fernanda Cabal,@MariaFdaCabal,2020-12-31T04:38:52.000Z,"Bolsonaro rechaza decisión de Argentina sobre aborto | RCN Radio""Mientras dependa de mí, el aborto nunca será aprobado en Brasil"": Bolsonaro
El mandatario deploró este miércoles la legalización del aborto en Argentina.
rcnradio.com",,107,375,"1,3 mil",https://twitter.com/MariaFdaCabal/status/1344503265434738688
María Fernanda Cabal,@MariaFdaCabal,2020-12-30T23:49:53.000Z,"Fleteros intentaron robar a policía retirado en Cali y él les respondió a balaFleteros intentaron robar a policía retirado en Cali y él les respondió a bala
En el hecho murió uno de los presuntos delincuentes, que se movilizaban en una motocicleta que tenía las placas alteradas.
bluradio.com",,183,381,"1,4 mil",https://twitter.com/MariaFdaCabal/status/1344430541177810945
María Fernanda Cabal,@MariaFdaCabal,2020-12-28T19:45:05.000Z,"Aquí les comparto mis 12 deseos para el 2021De 
Andres Felipe Arcos",,312,432,798,https://twitter.com/MariaFdaCabal/status/1343644159341682688
María Fernanda Cabal,@MariaFdaCabal,2020-12-28T01:12:22.000Z," ¡Gracias mi 
@AmericadeCali
!  #americacampeon",,45,105,546,https://twitter.com/MariaFdaCabal/status/1343364134570758149
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T23:30:00.000Z,"#Columna | La memoria del olvido

Tenemos que hacer todo lo que esté en nuestras manos para enfrentar a los reclutadores. Aumentar las penas para éste grave delito ayuda a dejar atrás la impunidad y disuadir a los victimarios.

#LasCosasComoSonLa memoria del olvido | Maria Fernanda Cabal
Tuve la oportunidad de defender en Comisión Primera de Senado, el proyecto de ley de la Representante del Centro Democrático, Margarita Restrepo, encaminado a endurecer las penas y ampliar el radio...
mariafernandacabal.com",,26,74,125,https://twitter.com/MariaFdaCabal/status/1341888818983493632
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T21:26:07.000Z,"Indagan nexos entre diplomáticos rusos expulsados y Venezuela
Los funcionarios salieron del país Los señalan de buscar información sobre infraestructura.
eltiempo.com",,33,180,271,https://twitter.com/MariaFdaCabal/status/1341857642386513923
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T20:30:00.000Z,"#Columna | La memoria del olvido

Mientras estamos con nuestros seres queridos, pensemos por un momento, en las familias que fueron despojadas de ese derecho.La memoria del olvido | Maria Fernanda Cabal
Tuve la oportunidad de defender en Comisión Primera de Senado, el proyecto de ley de la Representante del Centro Democrático, Margarita Restrepo, encaminado a endurecer las penas y ampliar el radio...
mariafernandacabal.com",,16,53,81,https://twitter.com/MariaFdaCabal/status/1341843522236911616
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T18:10:00.000Z,"#Columna | La memoria del olvido 

Es el momento de asumir un compromiso mayor frente a éste flagelo y exigir con mayor firmeza, como país y como sociedad, que los responsables paguen por sus crímenes, como garantía de no repetición.La memoria del olvido | Maria Fernanda Cabal
Tuve la oportunidad de defender en Comisión Primera de Senado, el proyecto de ley de la Representante del Centro Democrático, Margarita Restrepo, encaminado a endurecer las penas y ampliar el radio...
mariafernandacabal.com",,13,33,60,https://twitter.com/MariaFdaCabal/status/1341808288460136448
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T16:51:46.000Z,"#Columna | ""Aunque éstos datos corresponden a aquellos niños que lograron liberarse de la esclavitud del reclutamiento, exponen la terrible magnitud de ésta barbarie y nos obliga a generar conciencia, como civilización, si es que pretendemos serlo"".La memoria del olvido | Maria Fernanda Cabal
Tuve la oportunidad de defender en Comisión Primera de Senado, el proyecto de ley de la Representante del Centro Democrático, Margarita Restrepo, encaminado a endurecer las penas y ampliar el radio...
mariafernandacabal.com",,16,67,121,https://twitter.com/MariaFdaCabal/status/1341788599608627204
María Fernanda Cabal,@MariaFdaCabal,2020-12-23T12:23:37.000Z,"Excombatientes de las Farc en Huila reciben predio de 400 hectáreas extinto al narcotráfico; mientras los campesinos son despojados por la Ley de restitución de tierras. Ser violento en Colombia paga.Excombatientes de las Farc en Huila reciben predio extinto al narcotráfico
300 reincorporados de Palermo (Huila) recibieron un terreno de 400 hectáreas en el que podrán continuar trabajando en sus proyectos productivos.
elespectador.com",,224,1 mil,"1,3 mil",https://twitter.com/MariaFdaCabal/status/1341721118911176711
María Fernanda Cabal,@MariaFdaCabal,2020-12-22T15:06:42.000Z,"Exclusivo: estos dos diplomáticos rusos estaban haciendo espionaje en Colombia
SEMANA revela la sorprendente historia de espionaje ruso en el país, detectado a través de la Operación Enigma.
semana.com",,76,167,267,https://twitter.com/MariaFdaCabal/status/1341399774495469569
María Fernanda Cabal,@MariaFdaCabal,2020-12-22T02:24:58.000Z,"Jamás olvidaremos la barbarie de la farc. La quiere borrar la Jep.Ejército Nacional de Colombia
@COL_EJERCITO
 · 21 dic. 2020
Recordamos el sacrificio, así como el heroísmo de nuestros 22 soldados asesinados y 18 más secuestrados en el ataque a la base de Patascoy en #Nariño, un día como hoy del año 1997.

#ParaNoOlvidar",,274,660,1 mil,https://twitter.com/MariaFdaCabal/status/1341208077891203074
María Fernanda Cabal,@MariaFdaCabal,2020-12-18T12:40:55.000Z,"Dios mío qué le pasa al ser humano.Noticias Caracol
@NoticiasCaracol
 · 18 dic. 2020
Tras intensa búsqueda, hallan muerta a la pequeña Sofía Cadavid.

Según la Policía, el padre de la menor de 18 meses confesó el asesinato. El crimen enluta a Rionegro, Antioquia https://bit.ly/3nvYg15",,174,156,390,https://twitter.com/MariaFdaCabal/status/1339913533203640320
María Fernanda Cabal,@MariaFdaCabal,2020-12-18T05:23:39.000Z,"¡Hasta cuándo soportamos esto! Y la Jep ordenando ilegalmente 600 esquemas para armar desmovilizados y  proteger ""ex"" guerrilleros. ¿Las víctimas? Bien... gracias.ALICIA RESTREPO G.
@AliRestrepo
 · 18 dic. 2020
Cargamento de armas en camioneta de la UNP, con conductor guerrillo con sueldo de nuestros bolsillos. 
No cumplen ni cumplirán narcoterroristas no dejan de serlo.
#NoMásAcuerdoIncumplidoPorFarT.
@mindefensa 
@infopresidencia 
@UNPColombia 
@onucolombia 
@hrw 
@ComisionadoPaz twitter.com/BoteroCoffes/s…
Mostrar este hilo",,57,567,787,https://twitter.com/MariaFdaCabal/status/1339803493767516162
María Fernanda Cabal,@MariaFdaCabal,2020-12-18T02:47:28.000Z,"Claro, es la ""Paz"" que nos dejaron los cómplices de la coca.Félix de Bedout
@fdbedout
 · 11 dic. 2020
Estamos en la semana 50 de 2020. Hoy fueron asesinadas 4 personas en El Bagre Antioquia. Es la masacre 82 en Colombia en este año.",,177,420,"1,1 mil",https://twitter.com/MariaFdaCabal/status/1339764186226847744
María Fernanda Cabal,@MariaFdaCabal,2020-12-18T01:35:02.000Z,"#Columna | ¿Cuál verdad? 

Tal descaro revive el mismo argumento con el que impusieron el Acuerdo de Paz de La Habana y crearon un tribunal a la medida de las Farc.¿Cuál verdad? | Maria Fernanda Cabal
Disfrazar de “causas justas” las propuestas de la izquierda revolucionaria para atrapar al Estado, es una estrategia que ha dado resultado en Colombia desde hace varios años. Convertir sus deseos en...
mariafernandacabal.com",,29,155,235,https://twitter.com/MariaFdaCabal/status/1339745957324402689
María Fernanda Cabal,@MariaFdaCabal,2020-12-17T01:24:08.000Z,"El mandadero de Soros.Paola Holguín
@PaolaHolguin
 · 16 dic. 2020
Lo de @JMVivancoHRW es cada día más vergonzoso https://semana.com/confidenciales/articulo/jose-miguel-vivanco-de-hrw-sigue-interfiriendo-en-la-politica-colombiana/202020/…",,43,261,611,https://twitter.com/MariaFdaCabal/status/1339380829626265600
María Fernanda Cabal,@MariaFdaCabal,2020-12-16T22:30:06.000Z,"#Columna | ¿Cuál verdad?

Disfrazar de “causas justas” las propuestas de la izquierda revolucionaria para atrapar al Estado, es una estrategia que ha dado resultado en Colombia desde hace varios años.¿Cuál verdad? | Maria Fernanda Cabal
Disfrazar de “causas justas” las propuestas de la izquierda revolucionaria para atrapar al Estado, es una estrategia que ha dado resultado en Colombia desde hace varios años. Convertir sus deseos en...
mariafernandacabal.com",,81,120,235,https://twitter.com/MariaFdaCabal/status/1339337030770315267
María Fernanda Cabal,@MariaFdaCabal,2020-12-15T16:26:35.000Z,"Controlan la justicia y se garantizan impunidad. Todos estos izquierdópatas se perpetúan mientras desaparecen a sus opositores.Waldo San Martin
@WaldoSanMartin1
 · 15 dic. 2020
Anulan el proceso contra el expresidente de Bolivia Evo Morales por presunto fraude electoral en 2019 http://a.msn.com/01/es-xl/BB1bVzy2?ocid=st…",,137,161,320,https://twitter.com/MariaFdaCabal/status/1338883161208606725
María Fernanda Cabal,@MariaFdaCabal,2020-12-15T16:25:38.000Z,"Los comunistas llegan para nunca irse. #OjoConEl2022CarlosSanchezBerzain
@Csanchezberzain
 · 15 dic. 2020
Repudio al dictador en #Bolivia: Un silletazo contra Evo Morales avivó el descontento dentro su partido.En la mesa principal instalada en un coliseo en Cochabamba estaba Morales, el descontento se hizo mayor “fuera,fuera,fuera” y una silla dió en su cabeza https://infobae.com/america/america-latina/2020/12/15/un-silletazo-contra-evo-morales-avivo-el-descontento-dentro-de-su-partido/…",,58,97,193,https://twitter.com/MariaFdaCabal/status/1338882923290914823
María Fernanda Cabal,@MariaFdaCabal,2020-12-15T16:09:02.000Z,"Colombia necesita más libertad y menos EstadoColombia necesita más libertad y menos Estado
En exclusiva con el PanAm Post el exviceministro de Justicia y miembro del Centro Democrático, Rafael Nieto Loaiza. 
panampost.com",,76,190,548,https://twitter.com/MariaFdaCabal/status/1338878743171960834
María Fernanda Cabal,@MariaFdaCabal,2020-12-11T00:06:32.000Z,"#Columna | Se necesita mucho más que palabras para salvar a Venezuela de los miserables que secuestraron el poder para atraparla en la telaraña socialista, que la está matando lentamente.

¿Cuánto más vamos a esperar?¡Miserables! | Maria Fernanda Cabal
Maduro no se sacia. Así lo demostró el pasado fin de semana, cuando consumó un nuevo golpe al pueblo venezolano, sometido al abuso y la explotación y sin la posibilidad de librarse de su verdugo. La...
mariafernandacabal.com",,79,121,279,https://twitter.com/MariaFdaCabal/status/1337186972721442817
María Fernanda Cabal,@MariaFdaCabal,2020-12-10T19:45:38.000Z,"#Columna | ¡Miserables!

Maduro no se sacia. Así lo demostró el pasado fin de semana, cuando consumó un nuevo golpe al pueblo venezolano, sometido al abuso y la explotación y sin la posibilidad de librarse de su verdugo.¡Miserables! | Maria Fernanda Cabal
Maduro no se sacia. Así lo demostró el pasado fin de semana, cuando consumó un nuevo golpe al pueblo venezolano, sometido al abuso y la explotación y sin la posibilidad de librarse de su verdugo. La...
mariafernandacabal.com",,42,107,226,https://twitter.com/MariaFdaCabal/status/1337121316382646273
María Fernanda Cabal,@MariaFdaCabal,2020-12-10T17:20:16.000Z,"Los victimarios condecoran a quien preside el tribunal que los juzga. ""Hecho en Colombia"". Pobres las víctimas.",,155,773,"1,4 mil",https://twitter.com/MariaFdaCabal/status/1337084730014113792
María Fernanda Cabal,@MariaFdaCabal,2020-12-10T16:11:15.000Z,"Nada ha de sorprendernos en el reino de éste mundo.Rosa Blanca
@CorpoRosaBlanca
 · 9 dic. 2020
“Nunca desplazamos a nadie”: excomandante de las FARC ante la JEP - https://semana.com/nacion/articulo/nunca-desplazamos-a-nadie-excomandante-de-las-farc-ante-la-jep/202045/…
Cabecillas del @partidofarc  se burlan de las víctimas. Millones de desplazados y miles de violaciones y abortos a niñas guerrilleras. @JEP_Colombia debe expulsarlos por faltar a la verdad",,33,111,278,https://twitter.com/MariaFdaCabal/status/1337067361195728896
María Fernanda Cabal,@MariaFdaCabal,2020-12-10T16:09:53.000Z,"Y las pobres víctimas, ""paila"".Álvaro Uribe Vélez
@AlvaroUribeVel
 · 10 dic. 2020
Noticias informan;

“La dictadura de la JEP ordena 600 esquemas de seguridad con ex guerrilleros”

La JEP es la garantía de un pais de Farc no en Paz",,77,189,447,https://twitter.com/MariaFdaCabal/status/1337067019724873729
María Fernanda Cabal,@MariaFdaCabal,2020-12-08T15:03:56.000Z,"Ésta es la clase de jueces que destruyen la paz social. Incumple sus funciones y persigue a quienes sí lo hacen.De no creer: investigarán a policías por filtrar fotos de ladrones haciendo muecas
El mismo juez que dejó en libertad a los atracadores ordenó indagación disciplinaria a los uniformados por filtrar las imágenes de los apartamenteros que hicieron muecas en reseña tras ser capturados...
bluradio.com",,159,572,"1,2 mil",https://twitter.com/MariaFdaCabal/status/1336325644490194946
