nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link
Sergio Fajardo,@sergio_fajardo,2021-08-28T20:50:16.000Z,"Durante cinco años he esperado que este caso llegue a la Corte Suprema de Justicia. Ahora, con total transparencia y honestidad, demostraremos que actuamos de manera correcta como a lo largo de nuestra vida política. 
@BluRadioCo1:17
6,8 mil reproducciones",,57,69,312,https://twitter.com/sergio_fajardo/status/1431720812390780929
Sergio Fajardo,@sergio_fajardo,2021-08-28T11:22:17.000Z,"Juan Pablo Salazar: un ser humano maravilloso.Umut Şenol
@senolumut
 · 28 ago.
I am proud of you brother @JuanPSalazarS",,14,28,292,https://twitter.com/sergio_fajardo/status/1431577874021208071
Sergio Fajardo,@sergio_fajardo,2021-08-27T19:16:04.000Z,"Nunca en mi vida he cometido un delito, y así lo demostraré ante la Corte Suprema de Justicia. Aquí unos puntos y observaciones que quiero compartir con ustedes.",,146,138,628,https://twitter.com/sergio_fajardo/status/1431334717157253122
Sergio Fajardo,@sergio_fajardo,2021-08-27T16:50:54.000Z,Comunicado a la opinión pública.,,46,89,421,https://twitter.com/sergio_fajardo/status/1431298186107367431
Sergio Fajardo,@sergio_fajardo,2021-08-25T02:36:53.000Z,"Espero que los demás candidatos se comprometan a adelantar una campaña con cero tolerancia por el acoso en redes, y que nuestros seguidores sean conscientes de que lo que se dice acá tiene consecuencias en las vidas de las personas. Feliz noche.Sergio Fajardo
@sergio_fajardo
 · 24 ago.
Hago un llamado a los demás candidatos a que tengamos una campaña responsable, a que rechacemos abiertamente el acoso en redes. Hemos vivido mucha violencia y no podemos hacer de esta campaña un capítulo más en la tragedia de este país.",,25,36,212,https://twitter.com/sergio_fajardo/status/1430358490816602115
Sergio Fajardo,@sergio_fajardo,2021-08-25T02:36:05.000Z,"En respuesta a 
@Jose_GomezRamosGracias, José. Un lapsus. Tiene razón.",,1,,2,https://twitter.com/sergio_fajardo/status/1430358287753560064
Sergio Fajardo,@sergio_fajardo,2021-08-25T00:58:20.000Z,"Lo que necesitamos es dejar de creer que para enfrentar la mafia hay que hablar agresivamente. Y, de paso, dejar también el machismo evidente en su tuit. Feliz noche.FABIAN ROJAS CASTELL
@Fabian0111fr
 · 24 ago.
En respuesta a @mateocardonah y @sergio_fajardo
El mismo Man con respuestas bonitas, necesitamos presidente, un Man que enfrente la mafia, no una reina de belleza",,24,34,302,https://twitter.com/sergio_fajardo/status/1430333688152219661
Sergio Fajardo,@sergio_fajardo,2021-08-25T00:51:24.000Z,"Ana Sofía, no se trata de no cometer errores. Todos lo hacemos. Se trata de reconocerlos y corregirlos. Adelante.Políticamente incorrecta
@AnaSofiaBell
 · 24 ago.
Soy culpable porqué me he dejado llevar por la calentura del algunos momentos, me he expresado de forma incorrecta y maleducada, decir las cosas sí, pero no así, tus palabras me hacen reflexionar profundamente, mil gracias, lo siento si te defraudé.

https://twitter.com/sergio_fajardo/status/1430316219186532355?s=19…",,5,14,90,https://twitter.com/sergio_fajardo/status/1430331946014584834
Sergio Fajardo,@sergio_fajardo,2021-08-25T00:48:45.000Z,"No, Fernando. Hacer las cosas distinto o tener opiniones contrarias no equivale a hacer las cosas mal. Y, además, el acoso no debería ser una carga para nadie. Ya está bien de justificar violencias.Fernando Atapuma
@atapuma
 · 24 ago.
En respuesta a @sergio_fajardo
Pues el acoso es la carga por haber hecho la cosas mal y estar del lado del enano paraco",,40,33,418,https://twitter.com/sergio_fajardo/status/1430331278725943299
Sergio Fajardo,@sergio_fajardo,2021-08-25T00:45:14.000Z,"Hola, Levy. Listo, tienes mi compromiso: no me iré a ver ballenas para la segunda vuelta. ¿Tengo el tuyo para combatir el acoso en redes sociales?Levy Rincón
@LevyRincon
 · 24 ago.
En respuesta a @sergio_fajardo
Hago un llamado a que en segunda vuelta no vas a agredir al país yéndote a ver ballenas.",,975,547,"4,2 mil",https://twitter.com/sergio_fajardo/status/1430330393299914758
